Date,Open,High,Low,Close,Volume
12/31/2013,1.38012,1.38118,1.37401,1.37402,0
12/30/2013,1.37494,1.38184,1.3728,1.38021,0
12/27/2013,1.36897,1.38923,1.36868,1.37423,0
12/26/2013,1.3681,1.37011,1.3663,1.36902,0
12/24/2013,1.36943,1.37104,1.36542,1.36742,0
12/23/2013,1.3674,1.37164,1.36668,1.3695,0
12/20/2013,1.36609,1.37087,1.36246,1.3671,0
12/19/2013,1.36824,1.36934,1.36492,1.36601,0
12/18/2013,1.37671,1.38106,1.36741,1.36833,0
12/17/2013,1.37604,1.37816,1.37224,1.37672,0
12/16/2013,1.3729,1.3798,1.37271,1.37599,0
12/13/2013,1.37523,1.37685,1.3709,1.3742,0
12/12/2013,1.37848,1.38027,1.3737,1.37521,0
12/11/2013,1.37601,1.38101,1.37405,1.37849,0
12/10/2013,1.37381,1.37941,1.3733,1.37601,0
12/09/2013,1.3714,1.37447,1.36938,1.37378,0
12/06/2013,1.36669,1.37058,1.36197,1.37022,0
12/05/2013,1.35909,1.36767,1.35426,1.36663,0
12/04/2013,1.3585,1.36043,1.35282,1.35922,0
12/03/2013,1.3541,1.36133,1.35238,1.35881,0
12/02/2013,1.3581,1.36152,1.35254,1.35405,0
11/29/2013,1.36036,1.3621,1.35795,1.35912,0
11/28/2013,1.35782,1.36175,1.35631,1.36041,0
11/27/2013,1.3571,1.36121,1.35569,1.35784,0
11/26/2013,1.35156,1.35742,1.35145,1.3571,0
11/25/2013,1.3549,1.35592,1.34899,1.35155,0
11/22/2013,1.3481,1.3557,1.34618,1.3557,0
11/21/2013,1.34382,1.34857,1.33991,1.34809,0
11/20/2013,1.35373,1.35764,1.34151,1.34381,0
11/19/2013,1.35042,1.35463,1.34874,1.35373,0
11/18/2013,1.3491,1.35413,1.34739,1.35048,0
11/15/2013,1.34605,1.35048,1.34318,1.34952,0
11/14/2013,1.34848,1.34963,1.3418,1.34578,0
11/13/2013,1.3434,1.34947,1.33896,1.34856,0
11/12/2013,1.34061,1.34553,1.33586,1.34347,0
11/11/2013,1.33521,1.34156,1.33441,1.34056,0
11/08/2013,1.3418,1.34373,1.33177,1.3368,0
11/07/2013,1.35126,1.35284,1.32953,1.34182,0
11/06/2013,1.34733,1.35467,1.3467,1.3512,0
11/05/2013,1.3513,1.35222,1.3449,1.34737,0
11/04/2013,1.34873,1.35237,1.3442,1.35131,0
11/01/2013,1.3582,1.35889,1.34794,1.34867,0
10/31/2013,1.37346,1.37381,1.35748,1.35829,0
10/30/2013,1.37443,1.3784,1.36955,1.3735,0
10/29/2013,1.37845,1.38125,1.3736,1.37446,0
10/28/2013,1.38,1.38168,1.37745,1.37844,0
10/25/2013,1.38,1.38316,1.37741,1.3805,0
10/24/2013,1.37747,1.38246,1.3764,1.38004,0
10/23/2013,1.37802,1.37925,1.37413,1.3775,0
10/22/2013,1.36789,1.37914,1.36617,1.37799,0
10/21/2013,1.36829,1.3688,1.36542,1.36795,0
10/18/2013,1.36749,1.37033,1.36591,1.3689,0
10/17/2013,1.35337,1.36812,1.35151,1.36746,0
10/16/2013,1.35234,1.3567,1.34723,1.35327,0
10/15/2013,1.3561,1.35704,1.34792,1.35227,0
10/14/2013,1.35613,1.3597,1.35447,1.35601,0
10/11/2013,1.35196,1.35811,1.35174,1.35402,0
10/10/2013,1.3523,1.35457,1.34872,1.35188,0
10/09/2013,1.35722,1.36039,1.34857,1.35232,0
10/08/2013,1.358,1.36065,1.35567,1.35724,0
10/07/2013,1.35626,1.35906,1.35423,1.35799,0
