Date,Open,High,Low,Close,Volume
12/31/2013,1196.35,1214.21,1182.6,1205.24,0
12/30/2013,1214.2,1215.93,1195.01,1196.1,0
12/27/2013,1210.05,1218.83,1208.87,1213.05,0
12/26/2013,1204.1,1215.74,1201.01,1210.24,0
12/24/2013,1198.45,1205.43,1196.16,1204.32,0
12/23/2013,1202.7,1206.13,1192.7,1198.15,0
12/20/2013,1188.21,1207.37,1186.84,1202.74,0
12/19/2013,1218.03,1226.42,1187.18,1188.1,0
12/18/2013,1230.62,1244.38,1216.15,1218.15,0
12/17/2013,1241.18,1247.95,1227.38,1230.69,0
12/16/2013,1238.25,1251.86,1227.71,1241.08,0
12/13/2013,1225.05,1238.52,1220.65,1237.55,0
12/12/2013,1252,1256.86,1224.04,1225.07,0
12/11/2013,1262.11,1263.22,1250.94,1251.95,0
12/10/2013,1239.97,1267.71,1237.85,1261.91,0
12/09/2013,1230.04,1243,1225.24,1239.94,0
12/06/2013,1224.85,1243.69,1212.87,1227.54,0
12/05/2013,1243.3,1243.4,1217.1,1224.87,0
12/04/2013,1223.27,1251.31,1211.66,1243.29,0
12/03/2013,1221.2,1226.01,1215.4,1223.02,0
12/02/2013,1251.14,1251.14,1217.73,1219.47,0
11/29/2013,1243.79,1254.64,1240.72,1251.2,0
11/28/2013,1237.39,1245.6,1234.75,1243.81,0
11/27/2013,1242.6,1254.51,1236.18,1237.45,0
11/26/2013,1251.2,1257.67,1239.59,1242.47,0
11/25/2013,1242.01,1253.29,1227.67,1251.47,0
11/22/2013,1242.88,1248.78,1241.15,1242.87,0
11/21/2013,1243.87,1250.1,1236.77,1242.74,0
11/20/2013,1275.45,1276.22,1240.96,1243.83,0
11/19/2013,1274.95,1278.68,1269.16,1275.21,0
11/18/2013,1288.1,1289.36,1270.05,1274.84,0
11/15/2013,1286.93,1290.97,1280.33,1289.53,0
11/14/2013,1281.35,1294.16,1278.22,1286.96,0
11/13/2013,1267.73,1284.1,1264.09,1281.32,0
11/12/2013,1282.4,1285.18,1261.4,1267.71,0
11/11/2013,1287.99,1288.51,1279.14,1282.69,0
11/08/2013,1307.35,1313.48,1281.04,1287.92,0
11/07/2013,1317.55,1325.98,1297.11,1307.28,0
11/06/2013,1311.66,1321.98,1309.03,1317.56,0
11/05/2013,1314.22,1319.44,1305.85,1311.41,0
11/04/2013,1314.94,1322.26,1311.32,1314.4,0
11/01/2013,1322.8,1327.32,1306.08,1315.74,0
10/31/2013,1344.37,1344.37,1319.11,1322.75,0
10/30/2013,1344.7,1359.41,1334.68,1344.23,0
10/29/2013,1352.2,1360.3,1340.43,1344.7,0
10/28/2013,1351,1361.61,1346.28,1352.25,0
10/25/2013,1346.35,1355.55,1336.61,1348.2,0
10/24/2013,1333.15,1351.85,1330.22,1346.4,0
10/23/2013,1339.66,1342.08,1329.55,1333.08,0
10/22/2013,1315.43,1344.66,1310.14,1339.78,0
10/21/2013,1315.76,1323.98,1313.05,1315.66,0
10/18/2013,1318.23,1326.09,1311.73,1315.91,0
10/17/2013,1282.05,1324.19,1274.42,1319.97,0
10/16/2013,1281.98,1287.38,1269.3,1281.97,0
10/15/2013,1271.82,1287.59,1251.71,1281.9,0
10/14/2013,1270.78,1289.65,1268.59,1271.95,0
10/11/2013,1287.09,1294.35,1262.8,1271.81,0
10/10/2013,1305.33,1311.55,1282.4,1287.15,0
10/09/2013,1318.59,1321.49,1294.74,1305.3,0
10/08/2013,1322.6,1329.67,1315.9,1318.74,0
10/07/2013,1311.2,1328.31,1308.5,1322.68,0
10/04/2013,1316.09,1324.7,1305.92,1310.61,0
10/03/2013,1315.59,1321.63,1302.06,1316.49,0
10/02/2013,1289.6,1323.58,1277.67,1315.67,0
10/01/2013,1328.6,1337.29,1282.48,1287.41,0
09/30/2013,1341.5,1351.04,1322.89,1328.6,0
09/27/2013,1323.75,1343.73,1319.74,1336.1,0
09/26/2013,1334.26,1339.16,1318.91,1323.7,0
