Date,Open,High,Low,Close,Volume
07/19/2013,122.6,122.6,122.6,122.6,8
07/18/2013,131.65,132.15,127.15,127.15,14
07/17/2013,126.25,127.55,125.75,127.55,5
07/16/2013,124.9,126.1,124.9,125.6,3
07/15/2013,120.25,122.9,120.15,122.9,3
07/12/2013,120.4,120.4,119.15,119.15,8
07/11/2013,123.15,123.15,123.15,123.15,40
07/10/2013,121.75,121.75,121.45,121.45,5
07/09/2013,124,124,120,122.05,36
07/08/2013,120.5,123.6,120.5,123.25,12
07/05/2013,120.8,120.95,120.8,120.95,4
07/03/2013,124,124,121.15,121.15,18
07/02/2013,121.25,124.35,121.25,124.1,43
07/01/2013,120.6,121.85,119.8,121.2,21
06/28/2013,122.3,122.35,118.5,120,40
06/27/2013,118.8,121.6,118.7,121.6,40
06/26/2013,120.1,120.65,117.95,118.15,348
06/25/2013,120.2,120.45,118.7,120.25,63
06/24/2013,118.85,120.4,118.65,119.45,72
06/21/2013,119.2,121.1,118.65,118.7,119
06/20/2013,122.1,122.1,116.9,117.65,2238
06/19/2013,122.9,123.4,121.9,122.75,11273
06/18/2013,122.4,123.25,120.9,122,10303
06/17/2013,122.25,124.6,121.9,122.35,10475
06/14/2013,124.15,124.7,121.85,122.25,16238
06/13/2013,122.7,124.1,121.35,123.7,24452
06/12/2013,127.7,128.4,121.1,122.75,34570
06/11/2013,128.75,129,126,127.7,29124
06/10/2013,126.5,129,125.9,128.75,24001
06/07/2013,129.7,129.75,126.3,126.95,24412
06/06/2013,127.4,129.9,127.05,129.45,24536
06/05/2013,127.8,129.5,125.9,127.45,15493
06/04/2013,129,129.1,127.1,127.65,15747
06/03/2013,127.05,129.4,125.5,129,17934
05/31/2013,125.95,127.85,125.05,127.05,13948
05/30/2013,128,128.55,125.2,125.85,17757
05/29/2013,126.55,128,126,127.6,17055
05/28/2013,127.55,128.2,125.8,126.45,21540
05/24/2013,130.65,130.75,126.8,127.25,16739
05/23/2013,128.8,131.8,128.05,130.05,20814
05/22/2013,133.3,133.7,128.25,128.45,25577
05/21/2013,135.7,135.85,132.25,132.7,17188
05/20/2013,136.9,136.9,134,135.15,12866
05/17/2013,140.25,141.3,136.75,136.9,12049
05/16/2013,140.55,141.55,138.25,139.85,11742
05/15/2013,143.8,145.6,140.05,140.55,17682
05/14/2013,145.95,146.85,143.8,144,12699
05/13/2013,144.2,146.4,143.35,145.75,13597
05/10/2013,146.9,148.8,144,144.45,23762
05/09/2013,143.5,148.75,143.2,147.9,28597
05/08/2013,142.3,144.3,141.7,144.15,16132
05/07/2013,141.75,142.9,140.5,142.7,12852
05/06/2013,140.2,142.25,138.95,141.75,11666
05/03/2013,138.5,141.8,138,140.9,15348
05/02/2013,135,140.4,135,139.45,24863
05/01/2013,135.55,135.6,132.85,134.7,13113
04/30/2013,134.1,135.65,133.55,135.1,12558
04/29/2013,133.7,135,132.7,133.75,12944
04/26/2013,138,138.15,133.05,133.95,18005
04/25/2013,138.9,139.75,136.1,137.4,14160
04/24/2013,138,139.65,137.4,138.4,11983
04/23/2013,142.4,143.5,136.55,137.55,19604
04/22/2013,142.9,144.5,141.8,143.1,13952
04/19/2013,140.8,143.85,140.8,143.2,21208
04/18/2013,136.9,141.2,136.75,140.8,26481
04/17/2013,137.5,139.25,136.2,136.85,20969
04/16/2013,136.3,137.55,135.75,137.25,21121
04/15/2013,136.85,137.15,133.55,136.1,29793
04/12/2013,138.65,139.8,136.65,137.15,22481
04/11/2013,138.05,139.5,138.05,139.15,21440
04/10/2013,137.9,140.1,137.7,138.35,17973
04/09/2013,138.6,139.25,137.1,137.85,29073
04/08/2013,142,143.35,137.6,138.6,21738
04/05/2013,141.65,143,140.35,142.6,15958
04/04/2013,142,142.25,139.95,141.95,10527
04/03/2013,138.45,142.2,138.1,142.05,13631
04/02/2013,139.7,140.5,138.3,138.8,15510
04/01/2013,139.65,143.7,138.15,140.9,5432
03/28/2013,139.05,140.25,138.5,139.65,5471
03/27/2013,140,140.55,137.45,139.2,6980
03/26/2013,138.2,141.3,137.95,140.05,7922
03/25/2013,138.45,139.15,137.35,138.2,4559
03/22/2013,136.45,138.85,135.8,137.95,5914
03/21/2013,136.3,137.1,135.1,136.45,5650
03/20/2013,136,136.9,134.8,136.35,7272
03/19/2013,137.75,138,135.35,135.9,4287
03/18/2013,140,140.1,136.85,137.1,6257
03/15/2013,142.25,142.4,139.9,140.25,6661
03/14/2013,143.25,143.9,142.05,142.35,2304
03/13/2013,144.8,146.85,142.75,143.25,3965
03/12/2013,145,146.1,144.65,145,2703
03/11/2013,146.6,147.45,145.95,146.45,2561
03/08/2013,145.8,147.25,144.95,146.75,3370
03/07/2013,143.8,146.1,143.4,145.8,2776
03/06/2013,143.45,145,142.8,143.95,2616
03/05/2013,149.2,149.95,143.15,143.75,7055
03/04/2013,145.5,149.5,145.25,149.2,4246
03/01/2013,145.75,146.95,144.95,146,2379
02/28/2013,146.75,147,144.4,145.9,2831
02/27/2013,145.15,147.5,145.15,146.15,3749
02/26/2013,144.8,147.5,143.9,146.2,4102
02/25/2013,146,147,143.3,145.85,3043
02/22/2013,144.45,146.95,144.45,146.5,3642
02/21/2013,144.5,144.5,142,144.4,4126
02/20/2013,141.3,144.95,141,144.3,12666
02/19/2013,143.05,145.5,140.5,141.3,4919
02/15/2013,144.5,144.5,142.55,143.1,4353
02/14/2013,144.05,144.85,143.15,143.7,3490
02/13/2013,146.25,147.25,144,144.5,2902
02/12/2013,146,147.5,144.2,146.1,5496
02/11/2013,147.75,147.75,145.5,145.9,4161
02/08/2013,146.45,147.9,145.6,147.15,3679
