Date,Open,High,Low,Close,Volume
07/16/2013,2294,2294,2294,2294,1
07/15/2013,2226,2226,2226,2226,1
07/12/2013,2241,2241,2241,2241,1
07/11/2013,2244,2244,2244,2244,1
07/10/2013,2196,2196,2183,2183,1
07/09/2013,2150,2191,2150,2191,3
07/08/2013,2179,2179,2179,2179,3
07/05/2013,2214,2214,2214,2214,3
07/03/2013,2250,2250,2250,2250,3
07/02/2013,2203,2203,2203,2203,1
07/01/2013,2203,2203,2170,2201,4
06/28/2013,2194,2194,2194,2194,19
06/27/2013,2178,2178,2178,2178,19
06/26/2013,2206,2233,2161,2180,19
06/25/2013,2207,2207,2151,2191,6
06/24/2013,2161,2184,2151,2169,20
06/21/2013,2177,2192,2155,2171,10
06/20/2013,2227,2227,2160,2172,24
06/19/2013,2275,2275,2210,2236,26
06/18/2013,2222,2279,2221,2259,706
06/17/2013,2232,2250,2216,2221,192
06/14/2013,2307,2309,2239,2246,8587
06/13/2013,2369,2369,2303,2308,15386
06/12/2013,2361,2379,2348,2372,14387
06/11/2013,2359,2366,2342,2355,15569
06/10/2013,2360,2366,2341,2360,19069
06/07/2013,2363,2371,2326,2364,26374
06/06/2013,2303,2373,2298,2363,38209
06/05/2013,2283,2312,2280,2308,25584
06/04/2013,2246,2286,2234,2283,25715
06/03/2013,2191,2256,2191,2246,26678
05/31/2013,2211,2218,2189,2191,16657
05/30/2013,2208,2228,2196,2211,15880
05/29/2013,2206,2219,2191,2210,13607
05/28/2013,2246,2262,2201,2205,16002
05/24/2013,2266,2270,2244,2246,11798
05/23/2013,2310,2334,2261,2283,17927
05/22/2013,2344,2347,2304,2317,13955
05/21/2013,2304,2350,2292,2345,14386
05/20/2013,2307,2314,2291,2301,9018
05/17/2013,2295,2317,2276,2300,10519
05/16/2013,2352,2352,2292,2294,14481
05/15/2013,2353,2364,2335,2344,10947
05/14/2013,2334,2360,2318,2353,16875
05/13/2013,2295,2342,2286,2326,14094
05/10/2013,2340,2340,2298,2300,18124
05/09/2013,2400,2408,2335,2349,15329
05/08/2013,2390,2410,2362,2391,15904
05/07/2013,2392,2420,2388,2396,14834
05/06/2013,2412,2415,2385,2402,7534
05/03/2013,2406,2437,2401,2416,12993
05/02/2013,2415,2427,2401,2414,16603
05/01/2013,2374,2421,2360,2415,21804
04/30/2013,2335,2373,2320,2368,21022
04/29/2013,2360,2372,2322,2335,12026
04/26/2013,2365,2375,2330,2364,13461
04/25/2013,2317,2373,2317,2360,14310
04/24/2013,2317,2342,2309,2326,10010
04/23/2013,2310,2355,2307,2327,13278
04/22/2013,2331,2343,2303,2310,10944
04/19/2013,2336,2348,2322,2333,11513
04/18/2013,2310,2334,2294,2319,12644
04/17/2013,2316,2337,2299,2317,17244
04/16/2013,2265,2318,2257,2316,21594
04/15/2013,2268,2275,2254,2267,16056
