Date,Open,High,Low,Close,Volume
07/09/2013,84.19,84.19,83.9,83.9,73
07/08/2013,83.75,83.83,83.46,83.83,10
07/05/2013,84,84,83.5,83.68,7
07/03/2013,84.39,84.39,84.39,84.39,1
07/02/2013,84.25,84.25,83.22,83.22,15
07/01/2013,82.75,84.29,82.74,84.29,5
06/28/2013,82.81,83.85,82.71,82.71,102
06/27/2013,83.27,83.79,83.13,83.13,546
06/26/2013,85.1,85.1,83.68,83.68,76
06/25/2013,84.04,85.09,83.17,85.09,28
06/24/2013,85.78,85.78,82.38,82.98,333
06/21/2013,84.51,85.59,84.21,85.15,5810
06/20/2013,86.21,86.21,84.35,84.92,5153
06/19/2013,85.02,85.93,84.4,85.4,3778
06/18/2013,87.2,87.2,84.98,84.98,6863
06/17/2013,90.41,90.41,87.29,87.43,30589
06/14/2013,91.5,92.58,90.07,91.29,26393
06/13/2013,90,91.82,88.43,91.72,29188
06/12/2013,88.17,90.31,86.88,90.06,25364
06/11/2013,86.8,90.49,86.46,88.06,36660
06/10/2013,84.75,86.9,84.59,86.65,21342
06/07/2013,84.8,85.99,84.31,84.86,22189
06/06/2013,83.4,84.98,82.73,84.87,19832
06/05/2013,84.45,84.75,83.25,83.52,15883
06/04/2013,82.7,86.38,81.8,84.56,34363
06/03/2013,79.46,82.36,79.32,82.36,21702
05/31/2013,80.13,80.56,79.3,79.36,16923
05/30/2013,80.85,81.75,79.87,80.13,23857
05/29/2013,81.62,81.71,80.61,80.7,14106
05/28/2013,81.5,82.93,81.33,81.42,14342
05/24/2013,81.78,82.38,81.03,81.49,15749
05/23/2013,83.42,83.88,81.52,81.78,27731
05/22/2013,84.04,84.82,83.32,83.42,14344
05/21/2013,85.58,85.75,83.82,83.86,19395
05/20/2013,86.35,86.91,85.32,85.78,12672
05/17/2013,86.03,86.5,85.54,86.41,11686
05/16/2013,86.2,86.76,85.7,86.03,8481
05/15/2013,86.85,86.89,85.61,86.45,10809
05/14/2013,85.93,87.12,85.46,86.92,13721
05/13/2013,86.52,86.75,85,86.04,12802
05/10/2013,87.71,87.88,85.45,86.48,14585
05/09/2013,87.6,88.4,86.61,87.92,15809
05/08/2013,86.98,88.11,85.39,87.68,20563
05/07/2013,87.35,87.45,85.52,87.15,14075
05/06/2013,86.35,87.47,86.35,87.39,10545
05/03/2013,85.54,86.98,85.51,86.43,10997
05/02/2013,83.87,86.98,83.87,85.68,21390
05/01/2013,87.46,87.6,83.6,83.87,23900
04/30/2013,85.97,87.62,84.9,87.47,20909
04/29/2013,84.35,86.27,84.26,85.74,14908
04/26/2013,83.32,84.48,83.32,84.25,11241
04/25/2013,82.95,83.87,82.95,83.23,13338
04/24/2013,84.87,85.21,82.84,82.95,26918
04/23/2013,86,86.25,84.85,85.1,14676
04/22/2013,85.36,86.29,85.19,86.15,10478
04/19/2013,85.48,86.15,85.11,85.36,12072
04/18/2013,86.5,86.84,85.25,85.48,13934
04/17/2013,85.29,87.52,85.05,86.65,18472
04/16/2013,86.01,86.61,85.3,85.42,18953
04/15/2013,87.95,88.04,85.96,86.12,11140
04/12/2013,86.77,87.94,85.49,87.62,17991
04/11/2013,87.48,88.4,86.66,86.74,11927
04/10/2013,86.66,88.5,86.61,87.48,17472
04/09/2013,87.1,87.7,86.34,86.61,16102
04/08/2013,88.47,89.15,87.06,87.26,16100
04/05/2013,89.97,89.98,88.3,88.57,12028
04/04/2013,90.16,90.8,89.4,89.97,15808
04/03/2013,90.01,91.05,90.01,90.68,9401
04/02/2013,88.82,91.15,88.6,90.34,9625
04/01/2013,89.95,90.57,88.72,88.84,7574
03/28/2013,89.7,91.58,89.2,89.81,11042
03/27/2013,89.13,89.92,88.43,89.8,4340
03/26/2013,87.84,90.06,87.77,89.33,6745
03/25/2013,88.22,88.27,87.28,87.82,5641
03/22/2013,89.12,89.48,88.09,88.27,4199
03/21/2013,89.95,89.95,88.8,89.15,3578
03/20/2013,91.5,92.15,89.09,89.95,5110
03/19/2013,91.31,91.99,90.92,91.53,3022
03/18/2013,92.63,92.63,90.43,91.38,4785
03/15/2013,91.5,94.2,91.03,92.76,9994
03/14/2013,89,91.8,89,91.54,8097
03/13/2013,88.13,90.01,88.1,89.55,7321
03/12/2013,87.69,88.49,87.05,88.16,3235
03/11/2013,87.56,88.05,86.2,87.49,3789
03/08/2013,86.79,89.16,86.79,87.57,5497
03/07/2013,87.75,87.89,86.9,87.08,3500
03/06/2013,87.7,88.18,87.35,87.96,3610
03/05/2013,86.21,87.8,86.21,87.7,6183
03/04/2013,85.91,86.94,85.46,86.51,4844
03/01/2013,85.84,86.35,84.94,86.05,4244
02/28/2013,84.8,86.39,84.25,85.94,5938
02/27/2013,82.7,85.06,82.7,84.8,4362
02/26/2013,82.51,83.34,82.22,82.58,2428
02/25/2013,84,84.13,82.52,82.55,3632
02/22/2013,84.11,85.04,83.68,84.01,1929
02/21/2013,85.15,85.68,84,84.18,3532
02/20/2013,84.85,85.95,84.83,85.42,3161
02/19/2013,83.75,85.59,83.75,84.95,3692
02/15/2013,83.7,84.64,83.31,84.05,3198
02/14/2013,83.2,84.17,83.11,83.71,2082
02/13/2013,83.6,83.82,82.3,83.2,3152
02/12/2013,84.56,84.6,83.53,83.95,4627
02/11/2013,83.96,84.82,83.65,84.73,3654
02/08/2013,83.05,84.08,82.62,83.97,3168
02/07/2013,83,83.47,82.21,83.05,4938
02/06/2013,83.24,83.47,82.6,83.32,3144
02/05/2013,83.12,83.45,82.5,83.24,2826
07/09/2012,70.84,70.84,70.84,70.84,17
07/06/2012,71.86,71.86,70.78,70.78,17
07/05/2012,70.92,70.92,70.92,70.92,11
07/03/2012,72.75,72.75,72.75,72.75,11
07/02/2012,72.15,72.15,72.15,72.15,11
06/29/2012,70.98,72.16,70.98,72.16,11
06/28/2012,68.5,70.3,67.7,70.3,40
06/27/2012,69.45,69.95,68.01,68.01,33
06/26/2012,70.35,70.63,68.31,68.31,31
06/25/2012,70.71,72.5,68.23,70.46,193
06/22/2012,74.17,74.17,74.17,74.17,4570
06/21/2012,82.5,82.5,78.17,78.17,5096
06/20/2012,89.38,89.48,82.98,83.17,16640
06/19/2012,83.5,87.98,83.5,87.98,18191
06/18/2012,80.05,82.98,79.98,82.98,12498
06/15/2012,79.99,81.37,79.37,79.98,23806
06/14/2012,75.15,78.09,74.66,78.09,21462
06/13/2012,75.65,76.35,74.25,75.09,17800
06/12/2012,75,76.42,74.09,75.57,22701
06/11/2012,74.25,75.74,73.27,75.09,24880
06/08/2012,74.8,74.88,70.79,72.9,33782
06/07/2012,70.66,73.89,70.43,73.89,21433
06/06/2012,67.1,69.89,67.1,69.89,12304
06/05/2012,68.46,69.85,66.79,66.89,14678
06/04/2012,68.59,69.06,66.1,68.53,15999
06/01/2012,71.73,71.85,68.55,68.59,19847
05/31/2012,71.35,71.75,70.62,71.55,17611
05/30/2012,72.43,73.15,70.38,70.91,22236
05/29/2012,73.65,75.33,72.45,72.8,13381
05/25/2012,74.3,74.76,72.65,73.62,10104
05/24/2012,72,74.5,71.87,73.94,16277
05/23/2012,74.15,74.26,70.53,71.51,19548
05/22/2012,77.85,78.01,74.52,74.52,14060
05/21/2012,77.99,79.05,76.49,77.52,12566
05/18/2012,76.75,78.12,76.47,77.99,9748
05/17/2012,77.1,78.23,76.26,76.65,11245
