Date,Open,High,Low,Close,Volume
12/19/2011,215.3,215.3,215.3,215.3,8
12/16/2011,213.4,214.25,210.95,210.95,11
12/15/2011,215,215,213.75,213.75,1
12/14/2011,219.25,219.25,213.5,215.1,8
12/13/2011,221,221,218.65,218.65,29
12/12/2011,224,224,218,218.5,53
12/9/2011,225.5,226,224.65,224.65,14
12/8/2011,226.4,227.35,225.4,225.7,10
12/7/2011,231.7,231.7,226.75,226.75,23
12/6/2011,232.25,233.7,230.1,232.85,28
12/5/2011,229.4,235.2,228.5,233.95,28
12/2/2011,234,234,223.9,227.15,10
12/1/2011,233.2,235.7,231.55,233.2,78
11/30/2011,225,233.8,225,233.8,83
11/29/2011,226,228.5,224.2,225.25,128
11/28/2011,231.2,234,224.4,224.7,83
11/25/2011,231,231.45,229.5,229.6,107
11/23/2011,231.2,236.6,230.25,231.6,112
11/22/2011,233.5,233.8,230.85,232.9,195
11/21/2011,233.7,234.5,231.95,232.2,694
11/18/2011,231.75,236,231.6,234.2,6987
11/17/2011,235,236.25,231.3,232.15,9336
11/16/2011,237.55,238.5,235.1,235.75,7010
11/15/2011,233.15,240,230.4,239.5,13473
11/14/2011,237.3,238.35,228.1,230.95,15073
11/11/2011,230.7,235.05,229.25,233.95,21170
11/10/2011,229.05,232.8,227.75,230,10161
11/9/2011,230.4,231.45,226.95,230.2,11909
11/8/2011,234.9,237.3,228.7,229.6,14322
11/7/2011,230.2,236.8,228.65,233,14673
11/4/2011,227.5,231.4,224.25,230.2,11895
11/3/2011,223.25,230.1,223.25,226.8,13006
11/2/2011,225.4,227.5,223,224,11173
11/1/2011,226.4,226.4,220.45,223.65,16412
10/31/2011,233,233.45,225.35,226.95,13765
10/28/2011,234.6,236.7,232.1,235.15,10203
10/27/2011,234,240.95,234,234.6,12146
10/26/2011,236.8,240.5,231.9,233.7,11300
10/25/2011,251.25,252.5,235.6,236.55,21495
10/24/2011,245.45,251.5,243.1,250.8,11956
10/21/2011,233.65,246.7,233.2,244.85,19339
10/20/2011,234.4,236.85,229.7,231.65,11835
10/19/2011,231.25,239.25,230.9,236.15,11179
10/18/2011,232.8,236,229.4,231.5,11693
10/17/2011,240.05,243.55,228.35,234,13021
10/14/2011,237.45,241.5,234.25,239.55,10727
10/13/2011,231.5,240.35,228.1,237.65,12978
10/12/2011,224,231.7,223.6,229.45,9562
10/11/2011,226.3,228.35,221.65,223.4,11813
10/10/2011,226,231.75,225.1,226.3,7986
10/7/2011,235.65,236,223.65,224.35,11585
10/6/2011,229,236.1,228.05,234.4,11438
10/5/2011,228,232,226.15,227.7,7789
10/4/2011,224.25,230.2,221.7,226.55,13144
10/3/2011,228.5,228.6,219.8,223.45,16493
9/30/2011,230.85,233.6,228.5,228.9,12972
9/29/2011,233.4,235.5,230.15,231.15,12916
9/28/2011,241.05,244.2,232.85,233.5,14144
9/27/2011,238.4,246.55,237.35,240.85,14748
9/26/2011,233,240.5,232,235.95,12538
9/23/2011,239.9,241.95,230.8,231.45,19201
9/22/2011,251,251,235.65,239.25,24255
9/21/2011,260.4,260.4,251.35,251.95,15356
9/20/2011,262.5,266,259.5,260.2,8007
9/19/2011,260.15,264.35,255.45,262.05,12131
9/16/2011,260.4,264.75,255.1,260.4,16428
9/15/2011,265.3,269.65,260.2,260.55,12262
9/14/2011,269,271.1,264.1,265.7,10698
9/13/2011,270.95,274,268,270.3,8830
9/12/2011,270,274.75,268.15,270.95,9910
9/9/2011,283.25,283.6,265.1,270,20661
9/8/2011,283.9,284.75,281,284.1,7705
9/7/2011,281.9,285.2,280.3,284.5,9868
9/6/2011,283.3,283.5,276.6,280.95,12831
9/2/2011,289,290.45,284.7,288.05,10210
9/1/2011,287.15,290.85,282.6,289.75,11917
8/31/2011,286.6,288.5,284.7,288.25,11392
8/30/2011,284.45,287,278.4,286.7,12731
8/29/2011,279.9,284.75,279.9,284.45,8403
8/26/2011,275.75,280.5,275.25,279.2,10662
8/25/2011,273.15,277.9,273.15,275.5,10896
8/24/2011,272,277.65,271.95,273.75,12810
8/23/2011,267.35,273.5,267.35,271.6,11105
8/22/2011,267.2,273.25,266.55,268.35,15753
8/19/2011,266.7,270.2,264.7,269.85,15530
8/18/2011,265.7,268.75,260.2,268.4,14972
8/17/2011,254.2,267.3,254.1,266.8,21090
8/16/2011,248.7,255.5,245.75,255,14317
8/15/2011,243.5,251.75,243.35,249.4,12837
8/12/2011,244,245.5,242.5,243.85,11579
8/11/2011,238.95,244.8,237.65,244.05,13811
8/10/2011,238.5,242.4,237.2,238.35,8881
8/9/2011,236.5,241.8,236.2,238.5,8732
8/8/2011,240.9,240.9,235.3,237.95,8280
8/5/2011,238.6,251.2,237.35,241.9,14876
8/4/2011,246,246.5,238.65,239.75,8955
8/3/2011,246.3,249.4,244.1,245.5,8245
8/2/2011,245.15,252.1,244.5,247.1,6433
8/1/2011,243.95,247.5,243.25,245.3,9861
7/29/2011,242.9,246.5,242.55,243.6,3979
7/28/2011,245.9,248.95,241.5,243,5263
7/27/2011,249.5,249.5,243,245.55,5289
7/26/2011,247.15,251.45,247,249.25,7369
7/25/2011,245.75,248.6,245.2,247.15,4108
7/22/2011,245.15,250.15,242.2,245.75,5127
7/21/2011,248.6,251.85,243.6,244.9,4772
7/20/2011,248.5,250.3,243.95,247.4,3089
7/19/2011,253.2,256.5,247,247.7,3199
7/18/2011,256.85,256.85,251,252.1,3867
7/15/2011,262,263.75,256.2,257.3,2937
7/14/2011,267.6,269.3,260.4,262.1,2038
7/13/2011,261.9,269.65,261.9,267.6,1895
7/12/2011,262.85,262.85,258.8,261.8,2313
7/11/2011,266.2,266.7,260.1,262.85,4585
7/8/2011,272.05,273.5,266.5,266.95,2825
7/7/2011,269.4,274.75,269.05,271.85,1968
7/6/2011,271.55,272.75,269.1,270.9,2365
