Date,Open,High,Low,Close,Volume
06/28/2013,16.55,16.66,16.02,16.38,6557
06/27/2013,16.9,17.07,16.36,16.47,38077
06/26/2013,17,17.07,16.87,17.01,57888
06/25/2013,17,17.29,16.93,17.07,68714
06/24/2013,16.69,17.05,16.6,17.01,61103
06/21/2013,16.44,16.8,16.39,16.74,71440
06/20/2013,16.88,16.88,16.35,16.38,61075
06/19/2013,16.76,17.08,16.63,16.97,69225
06/18/2013,16.88,16.9,16.65,16.76,73758
06/17/2013,16.8,16.98,16.54,16.93,90244
06/14/2013,16.25,16.8,16.23,16.78,97118
06/13/2013,16.21,16.35,16.17,16.24,93828
06/12/2013,16.28,16.4,16.2,16.21,90679
06/11/2013,16.38,16.44,16.18,16.29,94775
06/10/2013,16.46,16.47,16.35,16.38,74004
06/07/2013,16.53,16.6,16.35,16.43,94557
06/06/2013,16.38,16.52,16.34,16.48,103192
06/05/2013,16.41,16.53,16.34,16.38,63230
06/04/2013,16.43,16.48,16.32,16.38,56274
06/03/2013,16.55,16.66,16.41,16.43,65212
05/31/2013,16.68,16.75,16.52,16.55,73352
05/30/2013,16.69,16.78,16.63,16.65,33196
05/29/2013,16.72,16.82,16.61,16.67,57409
05/28/2013,16.89,17,16.7,16.72,70763
05/24/2013,16.76,16.91,16.73,16.84,40951
05/23/2013,16.62,16.89,16.56,16.76,48676
05/22/2013,16.85,16.97,16.6,16.65,53453
05/21/2013,16.84,16.92,16.7,16.86,62613
05/20/2013,16.9,17,16.8,16.81,30534
05/17/2013,16.83,17,16.82,16.89,33888
05/16/2013,16.94,16.98,16.81,16.83,35351
05/15/2013,17.03,17.11,16.92,16.95,43204
05/14/2013,17.25,17.29,17,17.02,61087
05/13/2013,17.43,17.56,17.23,17.25,41386
05/10/2013,17.5,17.62,17.38,17.43,30390
05/09/2013,17.43,17.64,17.38,17.47,42953
05/08/2013,17.63,17.69,17.44,17.47,37923
05/07/2013,17.79,17.84,17.56,17.64,52057
05/06/2013,17.6,17.9,17.52,17.81,57963
05/03/2013,17.6,17.62,17.44,17.53,50757
05/02/2013,17.33,17.63,17.18,17.6,64623
05/01/2013,17.63,17.68,17.29,17.33,50281
04/30/2013,17.54,17.74,17.49,17.6,65387
04/29/2013,17.42,17.54,17.26,17.45,67974
04/26/2013,17.39,17.48,17.31,17.42,52377
04/25/2013,17.38,17.44,17.25,17.38,52424
04/24/2013,17.67,17.73,17.33,17.37,91941
04/23/2013,17.69,17.83,17.63,17.67,68383
04/22/2013,17.8,17.8,17.61,17.74,49306
04/19/2013,17.6,17.93,17.46,17.88,69898
04/18/2013,17.7,17.86,17.43,17.61,83264
04/17/2013,17.83,17.9,17.7,17.79,63314
04/16/2013,17.55,17.88,17.54,17.87,71374
04/15/2013,17.95,17.95,17.53,17.55,78075
04/12/2013,17.79,17.97,17.74,17.84,84532
04/11/2013,17.89,17.89,17.65,17.79,68705
04/10/2013,17.75,17.91,17.73,17.88,59399
04/09/2013,17.72,17.78,17.59,17.72,43290
04/08/2013,17.75,17.87,17.55,17.69,47802
04/05/2013,17.69,17.74,17.61,17.67,36065
04/04/2013,17.59,17.74,17.59,17.69,41044
04/03/2013,17.69,17.78,17.56,17.58,28252
04/02/2013,17.76,17.77,17.56,17.66,34734
04/01/2013,17.66,17.78,17.64,17.72,22705
03/28/2013,17.91,17.91,17.6,17.7,35559
03/27/2013,17.89,17.91,17.78,17.82,27395
03/26/2013,18,18.02,17.8,17.82,24987
03/25/2013,18.24,18.24,17.96,18,25867
03/22/2013,18.35,18.35,18.17,18.21,22994
03/21/2013,18.42,18.51,18.2,18.27,22294
03/20/2013,18.46,18.51,18.38,18.42,16293
03/19/2013,18.4,18.45,18.33,18.39,23132
03/18/2013,18.71,18.72,18.29,18.33,33765
03/15/2013,18.8,19,18.7,18.85,25139
03/14/2013,18.7,18.84,18.6,18.8,13918
03/13/2013,18.73,18.8,18.59,18.75,16823
03/12/2013,18.8,18.84,18.45,18.75,23442
03/11/2013,18.64,18.86,18.57,18.79,33260
03/08/2013,18.55,18.82,18.5,18.61,49836
03/07/2013,18.09,18.66,18.09,18.63,52039
03/06/2013,18.28,18.28,18.11,18.17,33544
03/05/2013,18.18,18.32,18.15,18.25,18571
03/04/2013,18.02,18.21,18.01,18.15,13217
03/01/2013,18.42,18.49,18,18.02,21241
02/28/2013,18.25,18.63,18.11,18.46,45259
02/27/2013,18.26,18.36,18.18,18.25,18700
02/26/2013,18.21,18.29,18.11,18.26,21175
02/25/2013,18.37,18.58,18.24,18.31,26020
02/22/2013,18.23,18.38,18.12,18.31,21086
02/21/2013,18.15,18.19,17.96,18.07,30456
02/20/2013,17.98,18.3,17.93,18.23,27038
02/19/2013,18.05,18.16,17.93,18.07,26378
02/15/2013,18,18.1,17.84,17.89,33100
02/14/2013,18.42,18.48,17.95,17.97,31018
02/13/2013,18.29,18.48,18.27,18.41,19391
02/12/2013,18.75,18.75,18.25,18.28,18170
02/11/2013,18.53,18.68,18.45,18.66,15702
02/08/2013,18.47,18.52,18.3,18.44,17839
02/07/2013,18.5,18.55,18.38,18.46,18523
02/06/2013,18.96,18.97,18.47,18.49,23057
02/05/2013,19.01,19.13,18.91,18.93,19593
06/29/2012,21.15,21.86,21.15,21.81,12830
06/28/2012,21.4,21.96,21.04,21.21,27594
06/27/2012,20.69,21.65,20.42,21.42,21840
06/26/2012,20.33,20.67,20.25,20.53,39609
06/25/2012,20.36,20.46,20.13,20.3,38913
06/22/2012,21.16,21.47,20.21,20.24,24858
06/21/2012,21.57,21.81,21,21.39,35815
06/20/2012,21.55,21.8,21.18,21.74,50511
06/19/2012,20.85,21.6,20.63,21.57,55887
06/18/2012,20.7,21.03,20.7,20.86,52712
06/15/2012,20,20.87,19.98,20.84,76113
06/14/2012,20,20.23,19.81,19.97,53228
06/13/2012,20.21,20.26,19.81,19.92,71111
06/12/2012,20.3,20.62,20.14,20.36,64940
06/11/2012,20.04,20.51,20,20.47,78801
06/08/2012,19.7,20.04,19.6,19.98,73307
06/07/2012,19.9,20.43,19.67,19.76,109580
06/06/2012,19.12,20.08,19.12,19.9,100701
06/05/2012,18.94,19.19,18.9,19.06,59849
06/04/2012,19.06,19.13,18.86,18.9,52467
06/01/2012,19.5,19.5,18.95,19.09,62550
05/31/2012,19.5,19.68,19.38,19.42,42521
05/30/2012,19.61,19.77,19.45,19.48,44189
05/29/2012,19.62,19.82,19.4,19.53,49344
05/25/2012,19.51,19.85,19.51,19.62,33821
05/24/2012,19.51,19.76,19.44,19.58,38777
05/23/2012,19.8,19.84,19.36,19.51,65204
05/22/2012,20.3,20.39,19.76,19.8,65733
05/21/2012,20.47,20.66,20.3,20.38,30255
05/18/2012,20.88,20.9,20.4,20.47,39113
05/17/2012,20.85,20.93,20.61,20.86,35072
05/16/2012,20.37,20.87,20.19,20.73,40758
05/15/2012,20.31,20.69,20.3,20.4,37304
05/14/2012,20.18,20.29,20.07,20.27,26916
05/11/2012,20.35,20.58,20.19,20.22,36726
05/10/2012,20.49,20.7,20.3,20.45,41098
05/09/2012,20.37,20.54,20.13,20.38,54608
05/08/2012,21.05,21.07,20.31,20.37,61955
05/07/2012,20.81,21.17,20.7,21.05,29629
05/04/2012,20.77,21,20.62,20.81,37471
05/03/2012,20.55,20.78,20.51,20.65,44404
05/02/2012,21.02,21.1,20.5,20.55,56814
05/01/2012,21.04,21.14,20.77,20.95,43093
04/30/2012,21.29,21.45,20.96,21.12,46496
04/27/2012,21.25,21.37,20.89,21.21,63882
04/26/2012,21.9,21.96,21.21,21.25,77907
04/25/2012,21.73,22.07,21.67,21.8,57706
04/24/2012,21.65,21.82,21.52,21.61,43686
04/23/2012,21.65,21.85,21.41,21.54,42130
04/20/2012,21.77,21.94,21.42,21.55,57762
04/19/2012,22.05,22.4,21.67,21.77,77478
04/18/2012,22.65,22.92,21.95,22.01,80286
04/17/2012,22.38,22.8,22.2,22.57,72902
04/16/2012,22.81,22.85,22.26,22.31,55750
04/13/2012,23.55,23.58,22.71,22.81,56934
04/12/2012,23.25,23.58,23.15,23.52,49080
04/11/2012,23.21,23.33,23.06,23.22,46994
04/10/2012,23.75,23.75,23.1,23.16,67966
04/09/2012,23.76,23.98,23.57,23.61,31569
04/05/2012,23.54,23.83,23.47,23.7,40961
04/04/2012,23.41,23.79,23.35,23.54,40414
04/03/2012,23.78,23.78,23.41,23.46,29776
04/02/2012,23.8,23.93,23.6,23.78,28083
03/30/2012,23.73,23.91,23.48,23.82,29104
03/29/2012,23.45,23.74,23.34,23.68,24887
03/28/2012,23.61,23.67,23.25,23.41,26050
03/27/2012,23.81,23.94,23.42,23.48,39271
03/26/2012,24.4,24.54,23.74,23.81,34809
03/23/2012,24.68,24.94,24.37,24.5,22430
03/22/2012,24.16,24.89,24.15,24.72,29470
03/21/2012,24.37,24.85,24.18,24.2,31176
03/20/2012,24.53,25,24.33,24.56,45226
03/19/2012,24.32,24.58,24.13,24.55,27481
03/16/2012,24.21,24.49,23.95,24.27,34890
03/15/2012,23.42,24.4,23.38,24.32,49041
03/14/2012,23.11,23.52,22.95,23.48,22764
03/13/2012,23,23.25,22.65,23.21,19854
03/12/2012,22.75,23.02,22.45,22.88,30614
03/09/2012,23.06,23.22,22.68,22.78,30360
03/08/2012,23.09,23.28,22.95,22.98,29303
03/07/2012,23.31,23.43,23.02,23.07,34315
03/06/2012,23.85,23.93,23.18,23.26,30848
03/05/2012,24.23,24.32,23.86,23.93,16003
03/02/2012,24.25,24.39,23.91,24.23,19921
03/01/2012,24.29,24.3,23.83,24.2,24959
02/29/2012,24.41,24.54,23.95,24.32,35165
02/28/2012,24.49,24.72,24.38,24.53,28990
02/27/2012,24.21,24.81,24.21,24.54,38665
02/24/2012,23.9,24.33,23.89,24.3,30853
02/23/2012,23.86,24.03,23.62,23.99,27304
02/22/2012,23.72,23.96,23.51,23.91,34496
02/21/2012,23.16,23.73,23.16,23.71,33121
02/17/2012,23.15,23.21,23.04,23.16,12274
02/16/2012,22.88,23.22,22.73,23.14,21974
02/15/2012,22.8,23.03,22.58,22.97,14843
02/14/2012,23.13,23.21,22.64,22.83,13457
02/13/2012,23.12,23.36,23.12,23.27,14336
02/10/2012,23.18,23.31,22.86,23.25,17098
02/09/2012,23.17,23.48,23.08,23.23,24199
02/08/2012,23.02,23.26,22.95,23.14,22209
02/07/2012,23.08,23.25,22.75,23.03,23198
02/06/2012,23,23.15,22.73,23.12,28228
02/03/2012,22.49,22.91,22.45,22.77,20118
06/30/2011,29.55,30.88,27.97,28.36,8333
06/29/2011,29.25,29.69,28.7,29.28,22314
06/28/2011,27.8,29.4,27.8,29.28,30891
06/27/2011,27.4,27.86,27.02,27.8,35584
06/24/2011,27.65,27.73,27.2,27.54,27371
06/23/2011,27.2,27.65,25.69,27.58,31793
06/22/2011,27.3,27.35,26.93,27.23,29937
