Date,Open,High,Low,Close,Volume
05/30/2014,180.9,181.25,174.65,177.5,15127
05/29/2014,176.9,182.95,176.8,181.95,13041
05/28/2014,178.75,179.25,170.8,176.15,17016
05/27/2014,181.5,182.55,177.75,179.35,9105
05/23/2014,181.5,184.25,180.5,181.9,12480
05/22/2014,181,183.25,176.7,181.35,12480
05/21/2014,185.3,186.25,180.85,181.4,13126
05/20/2014,183.9,186.4,180.05,185.7,17748
05/19/2014,186.05,187.7,183,183.5,9110
05/16/2014,195.85,196.1,184.25,185.05,13569
05/15/2014,185.75,197.75,185.2,196.8,18942
05/14/2014,186.95,187.75,182.95,184.2,9198
05/13/2014,189.95,191.05,185.85,186.95,10543
05/12/2014,184.5,189.8,182.75,189.25,9622
05/09/2014,195.05,196.35,183.35,183.9,22053
05/08/2014,200.7,200.85,195.25,195.5,14691
05/07/2014,202.3,207.5,200,201,11343
05/06/2014,204.65,207,201.1,202.25,10079
05/05/2014,203,208.8,198.2,205.25,9367
05/02/2014,204.55,207,200.9,203.2,7469
05/01/2014,205.65,208,203,204.15,8829
04/30/2014,210,211.2,202,205.85,11889
04/29/2014,201.7,212.55,194.4,211.9,18007
04/28/2014,204.9,206.6,200.4,201.15,9432
04/25/2014,213.7,213.8,204.35,207,10010
04/24/2014,212.9,216.45,206.85,214.8,12354
04/23/2014,213.4,219,211.7,213.95,11241
04/22/2014,199.2,215.7,198.8,213.4,20233
04/21/2014,204.2,205.9,198.2,199.2,10629
04/17/2014,191.2,204.5,189.5,204.1,19193
04/16/2014,194.4,202.5,188.5,188.85,28255
04/15/2014,208,210,194.5,195.05,20446
04/14/2014,202.3,208,197.4,207.4,26744
04/11/2014,207.2,210.9,202.2,203.55,20961
04/10/2014,202.9,210,202.35,208.4,23188
04/09/2014,198.7,202.45,192.4,202.1,17338
04/08/2014,197,205,196.9,198.7,16333
04/07/2014,187.7,198.95,187.65,195.55,21166
04/04/2014,177.75,187.55,177.25,187.1,10283
04/03/2014,174.8,177,173,176.7,7432
04/02/2014,175.35,180.35,170,174.8,10551
04/01/2014,179,180.95,176.4,177.35,5808
03/31/2014,182.5,182.65,176.2,180,7305
03/28/2014,178.5,183.05,178.5,182.6,6690
03/27/2014,178.25,178.7,175.75,178.3,4125
03/26/2014,176.8,181.35,174.1,178,10772
03/25/2014,178.65,179.05,175.75,177.25,5258
03/24/2014,173,179.4,167.95,178.3,7812
03/21/2014,174.45,177.35,170.5,173.05,6759
03/20/2014,185.75,186.15,174.4,175.95,10251
03/19/2014,194.25,195.6,185.85,187.35,3953
03/18/2014,192,198.35,191.3,193.4,2886
03/17/2014,199.35,199.75,190.55,193.25,5634
03/14/2014,206.6,206.7,199.05,200.2,3386
03/13/2014,206.85,209.3,205.2,207.8,3464
03/12/2014,207.35,211.5,202.3,207.15,5735
03/11/2014,206,210.65,204.4,207.5,8355
03/10/2014,200.2,208.4,200.2,205.2,3720
03/07/2014,196.95,203,196.15,198.7,3358
03/06/2014,204,204.7,195,197.5,6332
03/05/2014,187.15,206,183.7,204.35,5615
03/04/2014,195.55,199.2,186.85,187.45,5031
03/03/2014,182.45,199.75,178.9,195.4,4945
02/28/2014,180.75,183,178.6,182.25,6794
02/27/2014,180.4,182.45,178.4,181.2,5026
02/26/2014,177,180,173.1,179.65,4916
02/25/2014,177.5,183.15,174.8,178.3,4955
02/24/2014,171.5,181.2,171.5,178.3,6616
02/21/2014,171.4,176.45,170.3,171.35,6701
02/20/2014,174.1,179.2,164.1,171.4,13860
02/19/2014,156,175.55,154.95,174.45,14898
02/18/2014,143.35,158.15,143.35,156.6,9489
02/14/2014,142.45,144.85,141.55,144.35,7480
02/13/2014,145,146.5,140.75,144,5500
02/12/2014,141.4,145.45,139.8,145.1,7037
02/11/2014,140.8,142.5,139.85,141.5,3488
02/10/2014,138.85,142.25,137.1,140.45,3951
02/07/2014,138.3,146.4,136.25,139.85,5927
02/06/2014,146.65,147.75,139.25,139.75,5741
02/05/2014,140.75,147.45,138.2,146.85,6304
02/04/2014,139.5,141.7,136.95,140.3,9298
02/03/2014,129,140,129,139.55,9596
01/31/2014,124.2,129.5,124.2,129.05,5675
01/30/2014,121.5,124.5,121.5,124.15,2422
01/29/2014,119.35,121.8,118.1,121.3,2348
01/28/2014,117.5,119.1,117.5,119,4425
01/27/2014,118.6,122.15,117.65,118.3,2389
01/24/2014,120.2,120.2,118.15,118.95,2328
01/23/2014,119.35,120.95,119.2,119.75,942
01/22/2014,120.2,120.2,118.8,119.35,1389
01/21/2014,121.6,122.95,119.2,120.7,2077
01/17/2014,122.5,122.5,120.9,121.55,1385
01/16/2014,121.95,124.1,121.85,122.8,1923
01/15/2014,123.45,123.5,120.75,121.75,1650
01/14/2014,123.8,124.9,123,123.75,3774
01/13/2014,124.6,125,123.5,124.45,2800
01/10/2014,123.3,125.3,122.35,125.15,1850
01/09/2014,125.15,125.6,123,123.7,2477
01/08/2014,122,125.65,122,125.2,2196
01/07/2014,125.1,126.65,121.35,121.45,3114
01/06/2014,120.65,125.55,120.15,125.25,1879
01/03/2014,116.15,120.7,116.15,120.7,1535
01/02/2014,115.6,116.55,114.65,115.9,1726
12/31/2013,119.1,119.1,115,115.1,625
12/30/2013,120.6,121.35,118.65,119.05,341
12/27/2013,120,122.65,120,120.65,594
12/26/2013,119.85,120.75,119.8,119.8,128
12/24/2013,120.4,121.1,119,119.15,250
12/23/2013,119.4,121.7,119.4,120.1,663
12/20/2013,118,120.9,117.95,119.6,899
12/19/2013,120.1,120.5,117.5,118.1,1342
12/18/2013,118.65,120.65,118.65,120.2,965
12/17/2013,119.7,119.8,118.15,118.35,838
12/16/2013,120,121.2,118.6,119.35,2686
12/13/2013,116.4,119.75,116.4,119.45,1189
12/12/2013,114.2,116.15,114.15,115.7,1016
12/11/2013,114.75,115.65,113.75,114.05,2137
12/10/2013,110.75,115.05,110.35,114.7,1436
12/09/2013,111.1,112.25,110.3,110.6,1036
12/06/2013,111.15,111.7,110.65,110.9,654
12/05/2013,112.95,113.4,110.25,110.5,388
12/04/2013,114.95,117.1,112.9,112.95,996
12/03/2013,114.3,115.25,113.55,114.7,147
12/02/2013,114.95,116.25,113.6,114.3,0
