Date,Open,High,Low,Close,Volume
12/31/2013,1842.61,1849.44,1842.41,1848.36,0
12/30/2013,1841.47,1842.47,1838.77,1841.07,0
12/27/2013,1842.97,1844.89,1839.81,1841.4,0
12/26/2013,1834.96,1842.84,1834.96,1842.02,0
12/24/2013,1828.02,1833.32,1828.02,1833.32,0
12/23/2013,1822.92,1829.75,1822.92,1827.99,0
12/20/2013,1810.39,1823.75,1810.25,1818.32,0
12/19/2013,1809,1810.88,1801.35,1809.6,0
12/18/2013,1781.46,1811.08,1768.36,1810.65,0
12/17/2013,1786.47,1786.77,1777.05,1781,0
12/16/2013,1777.48,1792.22,1777.48,1786.54,0
12/13/2013,1777.98,1780.92,1772.45,1775.32,0
12/12/2013,1781.71,1782.99,1772.28,1775.5,0
12/11/2013,1802.76,1802.97,1780.09,1782.22,0
12/10/2013,1807.6,1808.52,1801.75,1802.62,0
12/09/2013,1806.21,1811.52,1806.21,1808.37,0
12/06/2013,1788.36,1806.04,1788.36,1805.09,0
12/05/2013,1792.82,1792.82,1783.38,1785.03,0
12/04/2013,1793.15,1799.8,1779.09,1792.81,0
12/03/2013,1800.1,1800.1,1787.85,1795.15,0
12/02/2013,1806.55,1810.02,1798.6,1800.9,0
11/29/2013,1808.69,1813.55,1803.98,1805.81,0
11/27/2013,1803.48,1808.27,1802.77,1807.23,0
11/26/2013,1802.87,1808.42,1800.77,1802.75,0
11/25/2013,1806.33,1808.1,1800.58,1802.48,0
11/22/2013,1797.21,1804.84,1794.7,1804.76,0
11/21/2013,1783.52,1797.16,1783.52,1795.85,0
11/20/2013,1789.59,1795.73,1777.23,1781.37,0
11/19/2013,1790.79,1795.51,1784.72,1787.87,0
11/18/2013,1798.82,1802.33,1788,1791.53,0
11/15/2013,1790.66,1798.22,1790.66,1798.18,0
11/14/2013,1782.75,1791.53,1780.22,1790.62,0
11/13/2013,1764.37,1782,1760.64,1782,0
11/12/2013,1769.51,1771.78,1762.29,1767.69,0
11/11/2013,1769.96,1773.44,1767.85,1771.89,0
11/08/2013,1748.37,1770.78,1747.63,1770.61,0
11/07/2013,1770.74,1774.54,1746.2,1747.15,0
11/06/2013,1765,1773.74,1764.4,1770.49,0
11/05/2013,1765.67,1767.03,1755.76,1762.97,0
11/04/2013,1763.4,1768.78,1761.56,1767.93,0
11/01/2013,1758.7,1765.67,1752.7,1761.64,0
10/31/2013,1763.24,1768.53,1755.72,1756.54,0
10/30/2013,1772.27,1775.22,1757.24,1763.31,0
10/29/2013,1762.93,1772.09,1762.93,1771.95,0
10/28/2013,1759.42,1764.99,1757.67,1762.11,0
10/25/2013,1756.01,1759.82,1752.45,1759.77,0
10/24/2013,1747.48,1753.94,1745.5,1752.07,0
10/23/2013,1752.27,1752.27,1740.5,1746.38,0
10/22/2013,1746.48,1759.33,1746.48,1754.67,0
10/21/2013,1745.2,1747.79,1740.67,1744.66,0
10/18/2013,1736.72,1745.31,1735.74,1744.5,0
10/17/2013,1720.17,1733.45,1714.12,1733.15,0
10/16/2013,1700.49,1721.76,1700.49,1721.54,0
10/15/2013,1709.17,1711.57,1695.93,1698.06,0
10/14/2013,1699.86,1711.03,1692.13,1710.14,0
10/11/2013,1691.09,1703.44,1688.52,1703.2,0
10/10/2013,1660.88,1692.56,1660.88,1692.56,0
10/09/2013,1656.99,1662.47,1646.47,1656.4,0
10/08/2013,1676.22,1676.79,1655.03,1655.45,0
10/07/2013,1687.15,1687.15,1674.7,1676.12,0
10/04/2013,1678.79,1691.94,1677.33,1690.5,0
10/03/2013,1692.35,1692.35,1670.36,1678.66,0
10/02/2013,1691.9,1693.87,1680.34,1693.87,0
10/01/2013,1682.41,1696.55,1682.07,1695,0
09/30/2013,1687.26,1687.26,1674.99,1681.55,0
09/27/2013,1695.52,1695.52,1687.11,1691.75,0
09/26/2013,1694.05,1703.85,1693.11,1698.67,0
09/25/2013,1698.02,1701.71,1691.88,1692.77,0
09/24/2013,1702.6,1707.63,1694.9,1697.42,0
09/23/2013,1711.44,1711.44,1697.1,1701.84,0
09/20/2013,1722.44,1725.23,1708.89,1709.91,0
09/19/2013,1727.34,1729.86,1720.2,1722.34,0
09/18/2013,1705.74,1729.44,1700.35,1725.52,0
09/17/2013,1697.73,1705.52,1697.73,1704.76,0
09/16/2013,1691.7,1704.95,1691.7,1697.6,0
09/13/2013,1685.04,1688.73,1682.22,1687.99,0
09/12/2013,1689.21,1689.97,1681.96,1683.42,0
09/11/2013,1681.04,1689.13,1678.7,1689.13,0
09/10/2013,1674.32,1684.09,1674.32,1683.99,0
09/09/2013,1656.85,1672.4,1656.85,1671.71,0
09/06/2013,1657.44,1664.83,1640.62,1655.17,0
09/05/2013,1653.28,1659.17,1653.07,1655.08,0
09/04/2013,1640.72,1655.72,1637.41,1653.08,0
09/03/2013,1635.95,1651.35,1633.41,1639.77,0
08/30/2013,1638.89,1640.08,1628.05,1632.97,0
08/29/2013,1633.5,1646.41,1630.88,1638.17,0
08/28/2013,1630.25,1641.18,1627.47,1634.96,0
08/27/2013,1652.54,1652.54,1629.05,1630.48,0
08/26/2013,1664.29,1669.51,1656.02,1656.78,0
08/23/2013,1659.92,1664.85,1654.81,1663.5,0
08/22/2013,1645.03,1659.55,1645.03,1656.96,0
08/21/2013,1650.66,1656.99,1639.43,1642.8,0
08/20/2013,1646.81,1658.92,1646.08,1652.35,0
08/19/2013,1655.25,1659.18,1645.84,1646.06,0
08/16/2013,1661.22,1663.6,1652.61,1655.83,0
08/15/2013,1679.61,1679.61,1658.59,1661.32,0
08/14/2013,1693.88,1695.52,1684.83,1685.39,0
08/13/2013,1690.65,1696.81,1682.62,1694.16,0
08/12/2013,1688.37,1691.49,1683.35,1689.47,0
08/09/2013,1696.1,1699.42,1686.02,1691.42,0
08/08/2013,1693.35,1700.18,1688.38,1697.48,0
08/07/2013,1695.3,1695.3,1684.91,1690.91,0
08/06/2013,1705.79,1705.79,1693.29,1697.37,0
08/05/2013,1708.01,1709.24,1703.55,1707.14,0
08/02/2013,1706.1,1709.67,1700.68,1709.67,0
08/01/2013,1689.42,1707.85,1689.42,1706.87,0
07/31/2013,1687.76,1698.43,1684.94,1685.73,0
07/30/2013,1687.92,1693.19,1682.42,1685.96,0
07/29/2013,1690.32,1690.92,1681.86,1685.33,0
07/26/2013,1687.31,1691.85,1676.03,1691.65,0
07/25/2013,1685.21,1690.94,1680.07,1690.25,0
07/24/2013,1696.06,1698.38,1682.57,1685.94,0
07/23/2013,1696.63,1698.78,1691.13,1692.39,0
07/22/2013,1694.41,1697.61,1690.67,1695.53,0
07/19/2013,1686.15,1692.09,1684.08,1692.09,0
07/18/2013,1681.05,1693.12,1681.05,1689.37,0
07/17/2013,1677.91,1684.75,1677.91,1680.91,0
07/16/2013,1682.7,1683.73,1671.84,1676.26,0
07/15/2013,1679.59,1684.51,1677.89,1682.5,0
07/12/2013,1675.26,1680.19,1672.33,1680.19,0
07/11/2013,1657.41,1676.63,1657.41,1675.02,0
07/10/2013,1651.56,1657.48,1647.66,1652.62,0
07/09/2013,1642.89,1654.18,1642.89,1652.32,0
07/08/2013,1634.2,1644.68,1634.2,1640.46,0
07/05/2013,1618.65,1632.07,1614.71,1631.89,0
07/03/2013,1611.48,1618.97,1604.57,1615.41,0
07/02/2013,1614.29,1624.26,1606.77,1614.08,0
07/01/2013,1609.78,1626.61,1609.78,1614.96,0
06/28/2013,1611.12,1615.94,1601.06,1606.28,0
06/27/2013,1606.44,1620.07,1606.44,1613.2,0
06/26/2013,1592.27,1606.83,1592.27,1603.26,0
06/25/2013,1577.52,1593.79,1577.09,1588.03,0
06/24/2013,1588.77,1588.77,1560.33,1573.09,0
06/21/2013,1588.62,1599.19,1577.7,1592.43,0
06/20/2013,1624.62,1624.62,1584.32,1588.19,0
06/19/2013,1651.83,1652.45,1628.91,1628.93,0
06/18/2013,1639.77,1654.19,1639.77,1651.81,0
06/17/2013,1630.64,1646.5,1630.34,1639.04,0
06/14/2013,1635.52,1640.8,1623.96,1626.73,0
06/13/2013,1612.15,1639.25,1608.07,1636.36,0
06/12/2013,1629.94,1637.71,1610.92,1612.52,0
06/11/2013,1638.64,1640.13,1623.05,1626.13,0
