Date,Open,High,Low,Close
11/15/2013,15034.33,15203.11,14994.7,15165.92
11/14/2013,14665.75,14966.43,14665.75,14876.41
11/13/2013,14527.97,14599.53,14490.92,14567.16
11/12/2013,14289.87,14588.68,14278.21,14588.68
11/11/2013,14271.48,14304.29,14208.13,14269.84
11/8/2013,14026.17,14122.28,14026.17,14086.8
11/7/2013,14355.56,14371.56,14222.03,14228.44
11/6/2013,14155.34,14407.69,14130.86,14337.31
11/5/2013,14319.75,14323.24,14141.82,14225.37
11/1/2013,14403.07,14411.05,14126.41,14201.57
10/31/2013,14474.01,14516.08,14324.17,14327.94
10/30/2013,14464.67,14526.88,14425.58,14502.35
10/29/2013,14288.72,14395.96,14224.59,14325.98
10/28/2013,14261.65,14400.32,14194.42,14396.04
10/25/2013,14439.14,14442.12,14088.19,14088.19
10/24/2013,14344.74,14499.52,14273.71,14486.41
10/23/2013,14784.41,14799.28,14426.05,14426.05
10/22/2013,14677.08,14747.77,14641.78,14713.25
10/21/2013,14624.03,14727.85,14624.03,14693.57
10/18/2013,14589.6,14610.09,14503.09,14561.54
10/17/2013,14640.08,14664.22,14492.67,14586.51
10/16/2013,14433.64,14493.67,14417.61,14467.14
10/15/2013,14510.27,14510.37,14415.76,14441.54
10/11/2013,14376.89,14447.87,14320.3,14404.74
10/10/2013,14097.62,14200.31,14077.03,14194.71
10/9/2013,13789.89,14037.84,13751.85,14037.84
10/8/2013,13794.74,13929.64,13748.94,13894.61
10/7/2013,14057.79,14073.23,13841.93,13853.32
10/4/2013,14029.73,14149.77,13944.27,14024.31
10/3/2013,14140.11,14219.89,14082.31,14157.25
10/2/2013,14492.47,14569.2,14114.54,14170.49
10/1/2013,14517.98,14642.97,14471.7,14484.72
9/30/2013,14530.62,14619.24,14425.82,14455.8
9/27/2013,14803.99,14817.5,14699.21,14760.07
9/26/2013,14553.06,14799.12,14410.52,14799.12
9/25/2013,14713.03,14737.98,14620.53,14620.53
9/24/2013,14626.04,14767.72,14607.27,14732.61
9/20/2013,14801.64,14816.65,14702.25,14742.42
9/19/2013,14680.4,14766.18,14581.79,14766.18
9/18/2013,14411.55,14625.97,14396.41,14505.36
9/17/2013,14456.99,14474.53,14311.67,14311.67
9/13/2013,14316.7,14439.93,14233.12,14404.67
9/12/2013,14397.9,14455.37,14321.57,14387.27
9/11/2013,14511.74,14561.46,14422.72,14425.07
9/10/2013,14318.72,14441.81,14296.78,14423.36
9/9/2013,14141.67,14251.46,14117.68,14205.23
9/6/2013,14088.41,14099.13,13834.52,13860.81
9/5/2013,14140.2,14156.5,13981.52,14064.82
9/4/2013,13875.17,14056.88,13843.61,14053.87
9/3/2013,13748.68,13978.44,13748.68,13978.44
9/2/2013,13438.07,13613.48,13407.53,13572.92
8/30/2013,13573.24,13615.98,13335.91,13388.86
8/29/2013,13382.95,13463.14,13364.82,13459.71
8/28/2013,13285.03,13392.57,13188.14,13338.46
8/27/2013,13551.75,13678.79,13517.1,13542.37
8/26/2013,13719.56,13741.49,13586.84,13636.28
8/23/2013,13583.76,13774.66,13575.4,13660.55
8/22/2013,13314.05,13447.33,13238.73,13365.17
8/21/2013,13431.28,13499.99,13250.36,13424.33
8/20/2013,13632.96,13730.09,13383.18,13396.38
8/19/2013,13669.74,13758.13,13589.78,13758.13
8/16/2013,13532.61,13739.52,13532.61,13650.11
8/15/2013,13845.64,13981.16,13711.12,13752.94
8/14/2013,13936.74,14050.16,13747.18,14050.16
8/13/2013,13696.36,13867,13689.49,13867
8/12/2013,13469.7,13658.86,13430.64,13519.43
8/9/2013,13673.49,13754.96,13527.81,13615.19
8/8/2013,13779.47,14031.14,13556.65,13605.56
8/7/2013,14155.95,14164.7,13824.94,13824.94
8/6/2013,14237.1,14401.06,14031.61,14401.06
8/5/2013,14318.21,14370.98,14225.5,14258.04
8/2/2013,14178.66,14466.16,14146.92,14466.16
8/1/2013,13674.5,14005.77,13645.61,14005.77
7/31/2013,13733.55,13836.03,13644.21,13668.32
7/30/2013,13634.2,13909.45,13613.78,13869.82
7/29/2013,13899.27,13953.85,13661.13,13661.13
7/26/2013,14339.39,14376.01,14114.52,14129.98
7/25/2013,14747.21,14748.77,14533.21,14562.93
7/24/2013,14719.64,14751.87,14630.68,14731.28
7/23/2013,14555.36,14820.18,14549.06,14778.51
7/22/2013,14770.02,14770.02,14514.29,14658.04
7/19/2013,14909.76,14953.29,14413.28,14589.91
7/18/2013,14645.25,14827.73,14645.25,14808.5
7/17/2013,14491.8,14615.04,14460.56,14615.04
7/16/2013,14594.88,14638.8,14550.89,14599.12
7/12/2013,14475.17,14574.17,14417.3,14506.25
7/11/2013,14275.26,14496.67,14275.26,14472.58
7/10/2013,14464.82,14555.33,14287.69,14416.6
7/9/2013,14295.44,14472.9,14186.03,14472.9
7/8/2013,14491.07,14497.65,14109.34,14109.34
7/5/2013,14150.85,14309.97,14149.5,14309.97
7/4/2013,13970.27,14093.02,13962.3,14018.93
7/3/2013,14149.99,14164.77,13984.08,14055.56
7/2/2013,13969.15,14098.74,13898.54,14098.74
7/1/2013,13746.72,13862.71,13562.7,13852.5
6/28/2013,13383.92,13724.44,13354.7,13677.32
6/27/2013,12968.72,13213.55,12873.5,13213.55
6/26/2013,13152.75,13189.84,12826.51,12834.01
6/25/2013,13081.62,13234.89,12758.22,12969.34
6/24/2013,13417.54,13426.13,13026.23,13062.78
6/21/2013,12787.87,13330.35,12702.67,13230.13
6/20/2013,13101.85,13190.82,12966.41,13014.58
6/19/2013,13233.08,13296.62,13107.65,13245.22
6/18/2013,13015.15,13139.48,12919.03,13007.28
6/17/2013,12584.37,13033.12,12549.82,13033.12
6/14/2013,12668.9,12900.65,12629.31,12686.52
6/13/2013,13038.02,13050.11,12415.85,12445.38
6/12/2013,13087.66,13332.72,12994.08,13289.32
6/11/2013,13504.77,13584.31,13296.31,13317.62
6/10/2013,13141.85,13514.2,13141.37,13514.2
6/7/2013,12706.41,13106.2,12548.2,12877.53
6/6/2013,12925.29,13238.53,12862.02,12904.02
6/5/2013,13566.75,13711.42,13011.16,13014.87
6/4/2013,13186.6,13610.25,13060.94,13533.76
6/3/2013,13551.36,13562.87,13261.82,13261.82
5/31/2013,13804.23,13916.56,13681.39,13774.54
5/30/2013,14072.9,14098.16,13555.66,13589.03
5/29/2013,14492.55,14512.28,14243.49,14326.46
5/28/2013,13943.62,14399.78,13943.62,14311.98
5/27/2013,14373.82,14381.28,14027.42,14142.65
5/24/2013,14731.75,15007.5,13981.52,14612.45
5/23/2013,15739.98,15942.6,14483.98,14483.98
5/22/2013,15440.69,15706.63,15432.64,15627.26
5/21/2013,15264.79,15388.37,15264.42,15381.02
5/20/2013,15260.61,15381.74,15245.8,15360.81
5/17/2013,14926.42,15157.32,14902.3,15138.12
5/16/2013,15146.05,15155.72,14879.51,15037.24
5/15/2013,14962.34,15108.83,14956.38,15096.03
5/14/2013,14822.56,14839.79,14755.08,14758.42
5/13/2013,14759.5,14849.01,14727.7,14782.21
5/10/2013,14449.24,14636.81,14426.74,14607.54
5/9/2013,14366.95,14409.82,14191.48,14191.48
5/8/2013,14196.2,14421.38,14186.83,14285.69
5/7/2013,13960.04,14196.38,13951.81,14180.24
5/2/2013,13727.25,13780.48,13637.96,13694.04
5/1/2013,13837.72,13844.82,13782,13799.35
4/30/2013,13854.82,13897.06,13778.75,13860.86
4/26/2013,13978.98,13983.87,13852.2,13884.13
4/25/2013,13887.53,13974.26,13827.96,13926.08
4/24/2013,13687.28,13843.46,13686.78,13843.46
