Date,Open,High,Low,Close
11/15/2013,1792.9,1798.8,1791.1,1798.17
11/14/2013,1782.4,1791.6,1780.4,1790.62
11/13/2013,1758.7,1782,1758.7,1782
11/12/2013,1767.9,1771.9,1762.2,1767.69
11/11/2013,1769.9,1773.4,1767.7,1771.89
11/8/2013,1747.8,1770.9,1747.5,1770.6
11/7/2013,1770.74,1774.54,1746.2,1747.15
11/6/2013,1765,1773.74,1764.4,1770.49
11/5/2013,1765.67,1767.03,1755.76,1762.97
11/4/2013,1763.4,1768.78,1761.56,1767.93
11/1/2013,1758.7,1765.67,1752.7,1761.64
10/31/2013,1763.24,1768.53,1755.72,1756.54
10/30/2013,1772.27,1775.22,1757.24,1763.31
10/29/2013,1762.93,1772.09,1762.93,1771.95
10/28/2013,1759.42,1764.99,1757.67,1762.11
10/25/2013,1756.01,1759.82,1752.45,1759.77
10/24/2013,1747.48,1753.94,1745.5,1752.07
10/23/2013,1752.27,1752.27,1740.5,1746.38
10/22/2013,1746.48,1759.33,1746.48,1754.67
10/21/2013,1745.2,1747.79,1740.67,1744.66
10/18/2013,1736.72,1745.31,1735.74,1744.5
10/17/2013,1720.17,1733.45,1714.12,1733.15
10/16/2013,1700.49,1721.76,1700.49,1721.54
10/15/2013,1709.17,1711.57,1695.93,1698.06
10/14/2013,1699.86,1711.03,1692.13,1710.14
10/11/2013,1691.09,1703.44,1688.52,1703.2
10/10/2013,1660.88,1692.56,1660.88,1692.56
10/9/2013,1656.99,1662.47,1646.47,1656.4
10/8/2013,1676.22,1676.79,1655.03,1655.45
10/7/2013,1687.15,1687.15,1674.7,1676.12
10/4/2013,1678.79,1691.94,1677.33,1690.5
10/3/2013,1692.35,1692.35,1670.36,1678.66
10/2/2013,1691.9,1693.87,1680.34,1693.87
10/1/2013,1682.41,1696.55,1682.07,1695
9/30/2013,1687.26,1687.26,1674.99,1681.55
9/27/2013,1695.52,1695.52,1687.11,1691.75
9/26/2013,1694.05,1703.85,1693.11,1698.67
9/25/2013,1698.02,1701.71,1691.88,1692.77
9/24/2013,1702.6,1707.63,1694.9,1697.42
9/23/2013,1711.44,1711.44,1697.1,1701.84
9/20/2013,1722.44,1725.23,1708.89,1709.91
9/19/2013,1727.34,1729.86,1720.2,1722.34
9/18/2013,1705.74,1729.44,1700.35,1725.52
9/17/2013,1697.73,1705.52,1697.73,1704.76
9/16/2013,1691.7,1704.95,1691.7,1697.6
9/13/2013,1685.04,1688.73,1682.22,1687.99
9/12/2013,1689.21,1689.97,1681.96,1683.42
9/11/2013,1681.04,1689.13,1678.7,1689.13
9/10/2013,1674.32,1684.09,1674.32,1683.99
9/9/2013,1656.85,1672.4,1656.85,1671.71
9/6/2013,1657.44,1664.83,1640.62,1655.17
9/5/2013,1653.28,1659.17,1653.07,1655.08
9/4/2013,1640.72,1655.72,1637.41,1653.08
9/3/2013,1635.95,1651.35,1633.41,1639.77
8/30/2013,1638.89,1640.08,1628.05,1632.97
8/29/2013,1633.5,1646.41,1630.88,1638.17
8/28/2013,1630.25,1641.18,1627.47,1634.96
8/27/2013,1652.54,1652.54,1629.05,1630.48
8/26/2013,1664.29,1669.51,1656.02,1656.78
8/23/2013,1659.92,1664.85,1654.81,1663.5
8/22/2013,1645.03,1659.55,1645.03,1656.96
8/21/2013,1650.66,1656.99,1639.43,1642.8
8/20/2013,1646.81,1658.92,1646.08,1652.35
8/19/2013,1655.25,1659.18,1645.84,1646.06
8/16/2013,1661.22,1663.6,1652.61,1655.83
8/15/2013,1679.61,1679.61,1658.59,1661.32
8/14/2013,1693.88,1695.52,1684.83,1685.39
8/13/2013,1690.65,1696.81,1682.62,1694.16
8/12/2013,1688.37,1691.49,1683.35,1689.47
8/9/2013,1696.1,1699.42,1686.02,1691.42
8/8/2013,1693.35,1700.18,1688.38,1697.48
8/7/2013,1695.3,1695.3,1684.91,1690.91
8/6/2013,1705.79,1705.79,1693.29,1697.37
8/5/2013,1708.01,1709.24,1703.55,1707.14
8/2/2013,1706.1,1709.67,1700.68,1709.67
8/1/2013,1689.42,1707.85,1689.42,1706.87
7/31/2013,1687.76,1698.43,1684.94,1685.73
7/30/2013,1687.92,1693.19,1682.42,1685.96
7/29/2013,1690.32,1690.92,1681.86,1685.33
7/26/2013,1687.31,1691.85,1676.03,1691.65
7/25/2013,1685.21,1690.94,1680.07,1690.25
7/24/2013,1696.06,1698.38,1682.57,1685.94
7/23/2013,1696.63,1698.78,1691.13,1692.39
7/22/2013,1694.41,1697.61,1690.67,1695.53
7/19/2013,1686.15,1692.09,1684.08,1692.09
7/18/2013,1681.05,1693.12,1681.05,1689.37
7/17/2013,1677.91,1684.75,1677.91,1680.91
7/16/2013,1682.7,1683.73,1671.84,1676.26
7/15/2013,1679.59,1684.51,1677.89,1682.5
7/12/2013,1675.26,1680.19,1672.33,1680.19
7/11/2013,1657.41,1676.63,1657.41,1675.02
7/10/2013,1651.56,1657.92,1647.66,1652.62
7/9/2013,1642.89,1654.18,1642.89,1652.32
7/8/2013,1634.2,1644.68,1634.2,1640.46
7/5/2013,1618.65,1632.07,1614.71,1631.89
7/3/2013,1611.48,1618.97,1604.57,1615.41
7/2/2013,1614.29,1624.26,1606.77,1614.08
7/1/2013,1609.78,1626.61,1609.78,1614.96
6/28/2013,1611.12,1615.94,1601.06,1606.28
6/27/2013,1606.44,1620.07,1606.44,1613.2
6/26/2013,1592.27,1606.83,1592.27,1603.26
6/25/2013,1577.52,1593.79,1577.09,1588.03
6/24/2013,1588.77,1588.77,1560.33,1573.09
6/21/2013,1588.62,1599.19,1577.7,1592.43
6/20/2013,1624.62,1624.62,1584.32,1588.19
6/19/2013,1651.83,1652.45,1628.91,1628.93
6/18/2013,1639.77,1654.19,1639.77,1651.81
6/17/2013,1630.64,1646.5,1630.34,1639.04
6/14/2013,1635.52,1640.8,1623.96,1626.73
6/13/2013,1612.15,1639.25,1608.07,1636.36
6/12/2013,1629.94,1637.71,1610.92,1612.52
6/11/2013,1638.64,1640.13,1622.92,1626.13
6/10/2013,1644.67,1648.69,1639.26,1642.81
6/7/2013,1625.27,1644.4,1625.27,1643.38
6/6/2013,1609.29,1622.56,1598.23,1622.56
6/5/2013,1629.05,1629.31,1607.09,1608.9
6/4/2013,1640.73,1646.53,1623.62,1631.38
6/3/2013,1631.71,1640.42,1622.72,1640.42
5/31/2013,1652.13,1658.99,1630.74,1630.74
5/30/2013,1649.14,1661.91,1648.61,1654.41
5/29/2013,1656.57,1656.57,1640.05,1648.36
5/28/2013,1652.63,1674.21,1652.63,1660.06
5/24/2013,1646.67,1649.78,1636.88,1649.6
5/23/2013,1651.62,1655.5,1635.53,1650.51
5/22/2013,1669.39,1687.18,1648.86,1655.35
5/21/2013,1666.2,1674.93,1662.67,1669.16
5/20/2013,1665.71,1672.84,1663.52,1666.29
5/17/2013,1652.45,1667.47,1652.45,1667.47
5/16/2013,1658.07,1660.51,1648.6,1650.47
5/15/2013,1649.13,1661.49,1646.68,1658.78
5/14/2013,1633.75,1651.1,1633.75,1650.34
5/13/2013,1632.1,1636,1626.74,1633.77
5/10/2013,1626.69,1633.7,1623.71,1633.7
5/9/2013,1632.69,1635.01,1623.09,1626.67
5/8/2013,1625.95,1632.78,1622.7,1632.69
5/7/2013,1617.55,1626.03,1616.64,1625.96
5/6/2013,1614.4,1619.77,1614.21,1617.5
5/3/2013,1597.6,1618.46,1597.6,1614.42
5/2/2013,1582.77,1598.6,1582.77,1597.59
5/1/2013,1597.55,1597.55,1581.28,1582.7
4/30/2013,1593.58,1597.57,1586.5,1597.57
4/29/2013,1582.34,1596.65,1582.34,1593.61
4/26/2013,1585.16,1585.78,1577.56,1582.24
4/25/2013,1578.93,1592.64,1578.93,1585.16
4/24/2013,1578.78,1583,1575.8,1578.79
4/23/2013,1562.5,1579.58,1562.5,1578.78
4/22/2013,1555.25,1565.55,1548.19,1562.5
4/19/2013,1541.61,1555.89,1539.4,1555.25
4/18/2013,1552.03,1554.38,1536.03,1541.61
4/17/2013,1574.57,1574.57,1543.69,1552.01
4/16/2013,1552.36,1575.35,1552.36,1574.57
4/15/2013,1588.84,1588.84,1552.28,1552.36
4/12/2013,1593.3,1593.3,1579.97,1588.85
4/11/2013,1587.73,1597.35,1586.17,1593.37
4/10/2013,1568.61,1589.07,1568.61,1587.73
4/9/2013,1563.11,1573.89,1560.92,1568.61
4/8/2013,1553.26,1563.07,1548.63,1563.07
4/5/2013,1559.98,1559.98,1539.5,1553.28
4/4/2013,1553.69,1562.6,1552.52,1559.98
4/3/2013,1570.25,1571.47,1549.8,1553.69
4/2/2013,1562.17,1573.66,1562.17,1570.25
4/1/2013,1569.18,1570.57,1558.47,1562.17
3/28/2013,1562.86,1570.28,1561.08,1569.19
3/27/2013,1563.75,1564.07,1551.9,1562.85
3/26/2013,1551.69,1563.95,1551.69,1563.77
3/25/2013,1556.89,1564.91,1546.22,1551.69
3/22/2013,1545.9,1557.74,1545.9,1556.89
3/21/2013,1558.71,1558.71,1543.55,1545.8
3/20/2013,1548.34,1561.56,1548.34,1558.71
3/19/2013,1552.1,1557.25,1538.57,1548.34
3/18/2013,1560.7,1560.7,1545.13,1552.1
3/15/2013,1563.21,1563.62,1555.74,1560.7
3/14/2013,1554.52,1563.32,1554.52,1563.23
3/13/2013,1552.48,1556.39,1548.25,1554.52
3/12/2013,1556.22,1556.77,1548.24,1552.48
3/11/2013,1551.15,1556.27,1547.36,1556.22
3/8/2013,1544.26,1552.48,1542.94,1551.18
3/7/2013,1541.46,1545.78,1541.46,1544.26
3/6/2013,1539.79,1545.25,1538.11,1541.46
3/5/2013,1525.2,1543.47,1525.2,1539.79
3/4/2013,1518.2,1525.27,1512.29,1525.2
3/1/2013,1514.68,1519.99,1501.48,1518.2
2/28/2013,1515.99,1525.34,1514.46,1514.68
2/27/2013,1496.94,1520.08,1494.88,1515.99
2/26/2013,1487.85,1498.99,1485.01,1496.94
2/25/2013,1515.6,1525.84,1487.85,1487.85
