Date,Open,High,Low,Close
11/15/2013,100.22,100.43,99.94,100.19
11/14/2013,99.24,100.26,99.14,100.22
11/13/2013,99.57,99.66,99.11,99.24
11/12/2013,99.16,99.8,99.15,99.57
11/11/2013,99.21,99.3,98.92,99.16
11/10/2013,99.08,99.27,99.08,99.21
11/8/2013,98.17,99.22,97.98,99.08
11/7/2013,98.66,99.41,97.65,98.17
11/6/2013,98.47,98.76,98.41,98.66
11/5/2013,98.64,98.64,98.17,98.47
11/4/2013,98.71,98.84,98.54,98.63
11/3/2013,98.7,98.83,98.67,98.71
11/1/2013,98.33,98.85,97.81,98.7
10/31/2013,98.47,98.51,98.09,98.33
10/30/2013,98.19,98.67,98.06,98.47
10/29/2013,97.64,98.28,97.47,98.19
10/28/2013,97.6,97.79,97.44,97.64
10/27/2013,97.4,97.78,97.4,97.6
10/25/2013,97.39,97.5,96.94,97.4
10/24/2013,97.43,97.61,97.17,97.39
10/23/2013,98.14,98.19,97.16,97.43
10/22/2013,98.2,98.48,97.88,98.14
10/21/2013,97.95,98.25,97.92,98.2
10/20/2013,97.78,97.96,97.78,97.96
10/18/2013,98,98.16,97.56,97.78
10/17/2013,98.99,99,97.75,98
10/16/2013,98.57,98.98,98.25,98.97
10/15/2013,98.64,98.7,98,98.58
10/14/2013,98.33,98.7,98.09,98.64
10/13/2013,98.56,98.56,98.14,98.33
10/11/2013,98.23,98.6,98.19,98.56
10/10/2013,97.5,98.33,97.47,98.25
10/9/2013,96.92,97.64,96.92,97.5
10/8/2013,96.69,97.25,96.67,96.92
10/7/2013,97.28,97.28,96.57,96.69
10/6/2013,97.23,97.34,97.14,97.28
10/4/2013,97.25,97.48,96.95,97.46
10/3/2013,97.36,97.88,96.94,97.25
10/2/2013,97.94,98.08,97.15,97.36
10/1/2013,98.38,98.72,97.66,97.94
9/30/2013,97.81,98.5,97.5,98.38
9/29/2013,98.24,98.24,97.62,97.81
9/27/2013,98.92,98.98,98.1,98.24
9/26/2013,98.44,99.14,98.27,98.92
9/25/2013,98.72,98.81,98.39,98.44
9/24/2013,98.74,99.17,98.47,98.72
9/23/2013,99.3,99.3,98.66,98.73
9/22/2013,99.37,99.37,99.21,99.3
9/20/2013,99.4,99.67,99.17,99.37
9/19/2013,98.19,99.62,97.99,99.4
9/18/2013,99.16,99.33,97.77,98.19
9/17/2013,99.1,99.39,99.06,99.16
9/16/2013,99,99.19,98.64,99.1
9/15/2013,99.36,99.36,98.5,99
9/13/2013,99.57,99.97,99.19,99.36
9/12/2013,99.8,99.9,99.02,99.58
9/11/2013,100.3,100.61,99.72,99.8
9/10/2013,99.72,100.46,99.48,100.29
9/9/2013,100.01,100.06,99.33,99.72
9/8/2013,99.11,100.11,99.11,100.02
9/6/2013,100.11,100.12,98.55,99.11
9/5/2013,99.73,100.23,99.58,100.11
9/4/2013,99.56,99.83,99.33,99.73
9/3/2013,99.56,99.86,99.17,99.56
9/2/2013,98.39,99.67,98.36,99.58
9/1/2013,98.13,98.47,98.13,98.39
8/30/2013,98.31,98.47,97.89,98.13
8/29/2013,97.75,98.52,97.46,98.31
8/28/2013,96.89,97.83,96.88,97.75
8/27/2013,98.28,98.36,96.82,96.89
