Date,Open,High,Low,Close
11/15/2013,1287.13,1291.25,1280.49,1290.26
11/14/2013,1285.17,1294.37,1278.33,1287.13
11/13/2013,1267.63,1286.92,1265.93,1285.22
11/12/2013,1282.51,1285.42,1261.52,1267.63
11/11/2013,1287.3,1288.29,1279.32,1282.51
11/10/2013,1288.6,1288.9,1286.53,1287.3
11/8/2013,1309.62,1313.82,1281.32,1288.5
11/7/2013,1317.91,1326.41,1297,1309.68
11/6/2013,1312.81,1322.16,1309.31,1317.95
11/5/2013,1315.24,1319.43,1306.09,1312.73
11/4/2013,1314.18,1322.49,1311.28,1315.24
11/3/2013,1314.01,1316.1,1313.44,1314.18
11/1/2013,1323.3,1327.57,1306.19,1316.19
10/31/2013,1338.58,1342.12,1319.17,1323.29
10/30/2013,1343.55,1359.66,1334.95,1338.58
10/29/2013,1353.3,1360.61,1340.44,1343.55
10/28/2013,1349.15,1361.87,1346.52,1353.3
10/27/2013,1350.69,1354.11,1348.94,1349.1
10/25/2013,1346.87,1355.89,1336.67,1350.69
10/24/2013,1332.45,1352.07,1332.31,1346.81
10/23/2013,1339.5,1342.37,1329.17,1332.44
10/22/2013,1315.7,1344.8,1310.3,1339.5
10/21/2013,1317.62,1324.22,1313.8,1315.7
10/20/2013,1314.96,1319.57,1313.37,1317.62
10/18/2013,1316.02,1327.19,1311.87,1316.24
10/17/2013,1281.25,1324.57,1274.64,1316.02
10/16/2013,1275.38,1288.12,1269.45,1281.2
10/15/2013,1272.3,1288.17,1251.81,1275.38
10/14/2013,1273.07,1289.92,1268.71,1272.3
10/13/2013,1272.18,1277.41,1272.18,1273.07
10/11/2013,1288.07,1294.63,1262.36,1272.18
10/10/2013,1303.08,1311.83,1282.56,1288.07
10/9/2013,1320.48,1322,1294.8,1303.06
10/8/2013,1323.24,1329.92,1316.15,1320.48
10/7/2013,1313.85,1328.72,1308.68,1323.27
10/6/2013,1312.12,1316.2,1312.12,1313.85
10/4/2013,1316.78,1325.07,1306.01,1310.98
10/3/2013,1315.1,1322.4,1302.24,1316.78
10/2/2013,1289.06,1323.99,1278.1,1315.11
10/1/2013,1328.74,1337.6,1282.53,1289.03
9/30/2013,1340.64,1342.4,1322.7,1328.8
9/27/2013,1324.33,1344.06,1320.01,1336.74
9/26/2013,1332.24,1339.44,1318.82,1324.33
9/25/2013,1325.35,1338.14,1316.75,1332.24
9/24/2013,1326.88,1329.39,1306.04,1325.35
9/23/2013,1329.95,1331.87,1313.74,1327.01
9/22/2013,1327.18,1330.65,1323.91,1330
9/20/2013,1365.78,1366.57,1325,1325.63
9/19/2013,1368.05,1375.43,1358.7,1365.78
9/18/2013,1306.9,1368.41,1291.92,1368.13
9/17/2013,1313.16,1323.89,1305.56,1306.9
9/16/2013,1330.25,1332.87,1303.29,1313.2
9/15/2013,1326.11,1334.87,1325.27,1330.09
9/13/2013,1327.45,1331,1305.05,1326.11
9/12/2013,1365.06,1365.93,1320.8,1327.37
9/11/2013,1366.2,1368.55,1356.83,1365.06
9/10/2013,1386.88,1387.33,1357.97,1366.18
9/9/2013,1388.88,1391.86,1382.18,1386.88
9/8/2013,1393.91,1394.54,1385.38,1389.03
9/6/2013,1369.32,1393.33,1359.38,1391.89
9/5/2013,1393.7,1399.74,1365.1,1369.22
9/4/2013,1411.48,1415.05,1384.79,1393.7
9/3/2013,1393.98,1416.4,1384.6,1411.5
9/2/2013,1380.71,1398.41,1379.78,1394.03
9/1/2013,1395.38,1395.38,1373.93,1380.78
8/30/2013,1404.36,1411.55,1392.33,1395.38
8/29/2013,1417.95,1418.2,1402.57,1404.4
8/28/2013,1418.84,1433.92,1413.56,1417.94
8/27/2013,1403.08,1423.88,1395.71,1418.76
8/26/2013,1396.23,1405.15,1389.55,1403.08
8/25/2013,1397.84,1407.03,1391.04,1396.31
8/23/2013,1374.88,1400.08,1368.88,1397.84
8/22/2013,1358.7,1381.73,1356.6,1374.83
8/21/2013,1368.83,1379.23,1355.36,1358.75
8/20/2013,1367.51,1377.63,1352.28,1368.9
8/19/2013,1376.88,1384.63,1362.72,1367.53
8/18/2013,1376.72,1380.28,1375.4,1376.88
8/16/2013,1363.11,1379.73,1357.81,1376.72
8/15/2013,1342.78,1370.15,1318.96,1363.11
8/14/2013,1321.4,1346.65,1316.19,1342.78
8/13/2013,1333.1,1341.62,1318.95,1321.47
8/12/2013,1329.29,1343.83,1322.98,1333.1
8/11/2013,1314.54,1333.9,1314.54,1329.24
8/9/2013,1312.85,1317.43,1305.17,1314.54
8/8/2013,1285,1314.6,1283.85,1312.85
8/7/2013,1282.39,1289.62,1272.99,1284.99
8/6/2013,1303.96,1307.14,1279.46,1282.29
8/5/2013,1312.56,1320.67,1297.7,1303.96
8/4/2013,1311.86,1315.07,1311.5,1312.56
8/2/2013,1307.58,1318.57,1283.47,1312.48
8/1/2013,1326.26,1331.21,1302.92,1307.39
7/31/2013,1328.02,1339.28,1306.35,1326.26
7/30/2013,1326.42,1330.27,1318.29,1327.98
7/29/2013,1331.03,1338.45,1323.05,1326.39
7/28/2013,1333.31,1334.99,1330.55,1331.08
7/26/2013,1335.73,1340.72,1312.66,1333.31
7/25/2013,1319.01,1338.13,1309.08,1335.69
7/24/2013,1343.27,1346.77,1313.31,1318.93
7/23/2013,1334.7,1348,1326.88,1343.31
7/22/2013,1313.36,1339.53,1311.23,1334.69
7/21/2013,1295.95,1317.91,1295.95,1313.43
7/19/2013,1284.91,1297.92,1282.54,1295.95
7/18/2013,1277.33,1288.7,1275.01,1284.92
7/17/2013,1290.75,1300.54,1270.41,1277.33
7/16/2013,1282.61,1295.66,1277.33,1290.75
7/15/2013,1289.55,1294.5,1274.27,1282.79
7/14/2013,1285.5,1295.02,1285.29,1289.63
7/12/2013,1285.87,1288.72,1268,1285.55
7/11/2013,1283.29,1298.88,1278.46,1285.87
7/10/2013,1249.06,1290,1244.14,1283.26
7/9/2013,1233.95,1260.74,1233.74,1249.08
7/8/2013,1218.97,1238.79,1215.89,1233.89
7/7/2013,1222.68,1230.07,1217.79,1218.97
7/5/2013,1248.12,1249.03,1208.47,1223.36
7/4/2013,1255.52,1257.11,1245.14,1248.12
7/3/2013,1245.06,1260.14,1236.9,1255.56
7/2/2013,1252.63,1267.48,1239.76,1245.02
7/1/2013,1239.71,1261.7,1225.6,1252.64
6/30/2013,1234.42,1245.22,1233.74,1239.84
6/28/2013,1205.44,1235.51,1180.73,1234.42
6/27/2013,1228.6,1244.87,1197.04,1205.51
6/26/2013,1274.86,1276.96,1221.84,1228.5
6/25/2013,1284.07,1289.42,1271.95,1274.88
6/24/2013,1300.47,1301.42,1276.22,1284.15
6/23/2013,1296.69,1301.78,1296.69,1300.47
6/21/2013,1274.5,1302.5,1269.46,1296.69
6/20/2013,1346.45,1348.37,1274.53,1274.53
6/19/2013,1369.35,1376.87,1343.31,1346.45
6/18/2013,1384.68,1386.2,1361.24,1369.31
6/17/2013,1390.36,1392.08,1380.67,1384.66
6/16/2013,1390.66,1390.92,1389.2,1390.36
6/14/2013,1385.79,1392.27,1378.58,1390.66
6/13/2013,1386.39,1395.04,1374.63,1385.88
6/12/2013,1377.68,1394.55,1374.26,1386.39
6/11/2013,1384.27,1386.98,1366.07,1377.65
6/10/2013,1384.53,1389.15,1376.11,1384.31
6/9/2013,1382.99,1388.37,1378.92,1384.53
6/7/2013,1411.93,1418.52,1377.89,1382.99
6/6/2013,1401.54,1423.6,1391.91,1411.93
6/5/2013,1398.79,1410.43,1395.89,1401.72
6/4/2013,1412.84,1415.1,1389.15,1398.79
6/3/2013,1394.52,1417.01,1391.01,1412.64
6/2/2013,1389.52,1395.33,1388.9,1394.65
5/31/2013,1415.31,1421.97,1385.07,1387.89
5/30/2013,1392.54,1418.15,1388.93,1415.25
5/29/2013,1380.91,1395.37,1380.45,1392.54
5/28/2013,1396.36,1402.01,1373.89,1380.81
5/27/2013,1386.17,1396.79,1384.62,1396.35
5/26/2013,1386.51,1388.58,1384.53,1386.35
5/24/2013,1388.18,1398.31,1382.38,1386.51
5/23/2013,1363.27,1398.13,1356.95,1388.23
5/22/2013,1377.3,1412.42,1354.66,1363.48
5/21/2013,1388.99,1401.55,1359.92,1377.28
5/20/2013,1348.46,1399.28,1338.91,1388.99
5/19/2013,1359.57,1365.65,1339.48,1348.46
5/17/2013,1387.24,1393.07,1355.52,1359.57
5/16/2013,1396.47,1398.25,1369.93,1387.24
5/15/2013,1430.25,1430.25,1389.71,1396.47
5/14/2013,1435.57,1445.57,1421.53,1430.22
5/13/2013,1437.73,1439.86,1426.13,1435.55
5/12/2013,1447.91,1447.91,1437.26,1437.65
5/10/2013,1455.76,1462.27,1419.93,1447.91
5/9/2013,1472.12,1475.9,1453.54,1455.73
5/8/2013,1450.31,1476.88,1447.84,1471.96
5/7/2013,1467.45,1470.3,1441.51,1450.31
5/6/2013,1470.87,1479.01,1464.72,1467.36
5/5/2013,1470.72,1470.82,1468.65,1470.82
5/3/2013,1467.93,1487.98,1456.49,1470.72
5/2/2013,1459.01,1473.68,1448.99,1467.88
5/1/2013,1476.46,1478.25,1440.61,1459.01
4/30/2013,1473.55,1480.29,1461.17,1476.46
4/29/2013,1465.32,1478.87,1462.91,1473.55
4/28/2013,1465.2,1468.21,1462.4,1465.32
4/26/2013,1473.46,1485.41,1448.16,1457.57
4/25/2013,1430.1,1473.95,1427.79,1473.46
4/24/2013,1414.22,1434.12,1414.22,1430.1
4/23/2013,1424.26,1432.83,1405.15,1414.22
4/22/2013,1408.61,1439.07,1403.75,1424.23
4/21/2013,1407.52,1409.22,1405.02,1408.49
4/19/2013,1394.5,1425.07,1386.04,1401.33
4/18/2013,1373.45,1402.26,1337.44,1394.25
4/17/2013,1371.36,1394.99,1364.61,1373.4
4/16/2013,1351.9,1403.46,1321.96,1371.7
4/15/2013,1490.03,1495.62,1335.42,1352.09
4/14/2013,1481.09,1490.66,1478.59,1489.99
4/12/2013,1562.03,1564.73,1483,1488.12
4/11/2013,1555.59,1568.32,1553.53,1562.01
4/10/2013,1585.51,1588.74,1553.76,1555.56
4/9/2013,1572.17,1589.74,1570.47,1585.53
4/8/2013,1577.47,1581.38,1567.48,1572.16
4/7/2013,1582.2,1583.25,1577.37,1577.44
4/5/2013,1552.69,1581.12,1549.46,1579.33
4/4/2013,1555.62,1557.01,1540.32,1552.54
4/3/2013,1576.5,1577.27,1549.84,1555.62
4/2/2013,1601.79,1603.99,1573.86,1576.5
4/1/2013,1596.67,1602.24,1594.96,1601.79
3/31/2013,1597.95,1601.21,1595.83,1596.65
3/28/2013,1605.24,1607.77,1593.99,1596.97
3/27/2013,1600.47,1608.35,1591.42,1605.27
3/26/2013,1606.13,1606.13,1594.81,1600.18
3/25/2013,1606.74,1613.73,1589.98,1606.13
3/24/2013,1608.22,1608.71,1603.02,1606.74
3/22/2013,1615.91,1615.92,1603.74,1608.46
3/21/2013,1606.14,1616.7,1604.58,1615.91
3/20/2013,1612.66,1614.9,1603.38,1606.23
3/19/2013,1605.9,1615.56,1600.16,1612.66
3/18/2013,1604.1,1611.16,1591.46,1605.9
3/17/2013,1606.44,1606.49,1601.88,1604.13
3/15/2013,1589.82,1598.72,1588.68,1592.24
3/14/2013,1588.26,1593.46,1577.12,1589.85
3/13/2013,1592.8,1599.24,1585.77,1588.24
3/12/2013,1582.19,1598.35,1580.18,1592.8
3/11/2013,1578.77,1583.33,1575.68,1582.18
3/10/2013,1578,1579.11,1577.65,1578.77
3/8/2013,1579.87,1583.85,1561.74,1578.46
3/7/2013,1582.39,1585.59,1575.08,1579.87
3/6/2013,1577.33,1585.15,1567.52,1582.39
3/5/2013,1575.38,1586.48,1572.15,1577.33
3/4/2013,1579.46,1584.97,1569.67,1575.38
3/3/2013,1578.74,1581.83,1578.74,1579.46
3/1/2013,1580.89,1587.37,1565.02,1575.71
2/28/2013,1597.27,1603.1,1575.16,1580.93
2/27/2013,1613.6,1614.87,1592.59,1597.25
2/26/2013,1595.02,1620.06,1584.6,1613.6
2/25/2013,1577.73,1597.11,1575.33,1595.02
2/24/2013,1580.85,1581.12,1579.24,1579.7
2/22/2013,1578.76,1587.37,1569.96,1581.91
2/21/2013,1570.57,1584.92,1555.22,1578.77
2/20/2013,1605.21,1609.59,1558.78,1570.57
2/19/2013,1614.26,1615.36,1600.77,1605.21
2/18/2013,1613,1618.91,1607.25,1614.26
2/17/2013,1609.63,1613.22,1609.18,1613
2/15/2013,1635.37,1636.13,1598.14,1610.07
2/14/2013,1644.63,1650.16,1633.02,1635.35
2/13/2013,1651.81,1653.62,1640.68,1644.55
2/12/2013,1648.66,1653.4,1639.35,1651.81
2/11/2013,1666.67,1669.7,1643.97,1648.67
2/10/2013,1668.17,1668.28,1666.14,1666.49
2/8/2013,1671.39,1673.7,1665.19,1667.4
2/7/2013,1678.58,1683.24,1663.31,1671.38
2/6/2013,1675,1679.66,1668.4,1678.58
2/5/2013,1674.45,1685.02,1666.84,1675
2/4/2013,1667.2,1677.72,1662.03,1674.45
2/3/2013,1668.87,1669.13,1665.75,1667.23
2/1/2013,1663.1,1682.39,1660.17,1667.21
1/31/2013,1676.94,1680.9,1658.04,1663.09
1/30/2013,1664.36,1683.7,1662.89,1676.94
1/29/2013,1657.32,1665.99,1656.9,1664.36
1/28/2013,1659.6,1662.53,1652.15,1657.32
1/27/2013,1658.82,1660.66,1658.82,1659.6
1/25/2013,1667.86,1672.5,1656.13,1658.82
1/24/2013,1685.02,1685.76,1665.3,1667.81
1/23/2013,1692.8,1695.16,1683.87,1685.06
1/22/2013,1689.79,1696.13,1686.99,1692.8
1/21/2013,1688.66,1691.43,1686.01,1689.79
1/20/2013,1685.44,1689.76,1684.92,1688.66
1/18/2013,1687.55,1695.38,1683.57,1684.09
1/17/2013,1680.69,1697.3,1666.9,1687.55
1/16/2013,1681.15,1684.97,1673.75,1680.68
1/15/2013,1668.09,1685.3,1666.59,1681.15
1/14/2013,1660.95,1674.92,1660.95,1668.09
1/13/2013,1662.35,1662.55,1659.85,1660.65
1/11/2013,1673.75,1676.3,1653.5,1662.55
1/10/2013,1655.95,1678.75,1653.95,1673.65
1/9/2013,1661.35,1665.95,1651.5,1656.15
1/8/2013,1650.05,1662.6,1646.95,1661.45
1/7/2013,1657.15,1662.55,1643.2,1649.85
1/6/2013,1657.75,1659.35,1655.95,1657.05
1/4/2013,1660.95,1662.15,1626.05,1655.85
1/3/2013,1687.45,1690.25,1661.05,1661.05
1/2/2013,1670.75,1695.15,1670.35,1687.55
1/1/2013,1674.25,1674.45,1670.35,1670.95
12/31/2012,1657.15,1680.3,1656.65,1675.25
12/30/2012,1655.65,1657.55,1655.35,1657.05
12/28/2012,1662.15,1665.15,1653.55,1655.85
12/27/2012,1658.45,1666.35,1652.55,1662.05
12/26/2012,1657.6,1667.7,1655.2,1658.55
12/24/2012,1658.05,1665.65,1651.95,1658.4
12/23/2012,1657.05,1658.85,1656.65,1658.15
12/21/2012,1648.05,1659.6,1635.55,1656.95
12/20/2012,1667.35,1671.65,1635.7,1648.35
12/19/2012,1676.25,1676.75,1663.4,1667.45
12/18/2012,1697.35,1703.25,1661.3,1676.35
12/17/2012,1695.25,1699.35,1686.55,1697.25
12/16/2012,1697.35,1699.75,1695.25,1695.35
