Date,Open,High,Low,Close,Volume
12/31/2013,105.129,105.34,104.856,105.261,0
12/30/2013,105.22,105.408,104.975,105.134,0
12/27/2013,104.796,105.178,104.64,105.14,0
12/26/2013,104.358,104.834,104.295,104.782,0
12/24/2013,104.099,104.406,104.089,104.235,0
12/23/2013,103.95,104.117,103.767,104.084,0
12/20/2013,104.243,104.632,103.855,104.06,0
12/19/2013,104.277,104.359,103.779,104.226,0
12/18/2013,102.658,104.351,102.557,104.266,0
12/17/2013,103.001,103.104,102.499,102.647,0
12/16/2013,103.27,103.287,102.638,103.003,0
12/13/2013,103.363,103.917,102.987,103.2,0
12/12/2013,102.427,103.428,102.38,103.361,0
12/11/2013,102.827,102.944,102.159,102.416,0
12/10/2013,103.25,103.389,102.572,102.83,0
12/09/2013,102.94,103.323,102.879,103.244,0
12/06/2013,101.781,102.959,101.626,102.9,0
12/05/2013,102.342,102.436,101.624,101.779,0
12/04/2013,102.499,102.831,101.817,102.342,0
12/03/2013,102.928,103.372,101.977,102.495,0
12/02/2013,102.49,103.124,102.22,102.927,0
11/29/2013,102.298,102.606,102.111,102.362,0
11/28/2013,102.146,102.369,101.935,102.3,0
11/27/2013,101.279,102.19,101.176,102.142,0
11/26/2013,101.66,101.71,101.142,101.277,0
11/25/2013,101.28,101.91,101.134,101.664,0
11/22/2013,101.15,101.348,100.948,101.27,0
11/21/2013,100.02,101.157,100,101.149,0
11/20/2013,100.115,100.235,99.785,100.016,0
11/19/2013,99.985,100.252,99.565,100.121,0
11/18/2013,100.257,100.384,99.785,99.982,0
11/15/2013,100.006,100.428,99.938,100.18,0
11/14/2013,99.221,100.145,99.13,100.004,0
11/13/2013,99.62701,99.666,99.10101,99.229,0
11/12/2013,99.145,99.794,99.1,99.625,0
11/11/2013,99.212,99.293,98.918,99.143,0
11/08/2013,98.09,99.216,97.97601,99.11,0
11/07/2013,98.65,99.404,97.626,98.078,0
11/06/2013,98.487,98.751,98.404,98.65,0
11/05/2013,98.592,98.67101,98.163,98.487,0
11/04/2013,98.75,98.84,98.531,98.596,0
11/01/2013,98.34,98.846,97.805,98.635,0
10/31/2013,98.491,98.565,98.085,98.348,0
10/30/2013,98.179,98.67001,98.053,98.50201,0
10/29/2013,97.652,98.272,97.458,98.173,0
10/28/2013,97.73,97.784,97.441,97.65301,0
10/25/2013,97.272,97.486,96.939,97.393,0
10/24/2013,97.375,97.611,97.169,97.274,0
10/23/2013,98.126,98.19,97.155,97.368,0
10/22/2013,98.18301,98.479,97.871,98.123,0
10/21/2013,97.691,98.236,97.691,98.177,0
10/18/2013,97.9,98.151,97.553,97.73,0
10/17/2013,98.758,99.001,97.735,97.901,0
10/16/2013,98.104,98.965,98.104,98.757,0
10/15/2013,98.551,98.69601,97.997,98.146,0
10/14/2013,98.185,98.579,98.09,98.544,0
10/11/2013,98.151,98.58801,97.916,98.561,0
10/10/2013,97.329,98.266,97.319,98.15,0
10/09/2013,96.863,97.639,96.818,97.331,0
10/08/2013,96.69,97.245,96.567,96.862,0
10/07/2013,97.17001,97.323,96.665,96.69601,0
10/04/2013,97.24001,97.47601,96.949,97.46,0
10/03/2013,97.348,97.868,96.931,97.25,0
10/02/2013,97.986,98.08,97.145,97.346,0
10/01/2013,98.208,98.719,97.655,97.986,0
09/30/2013,97.84,98.456,97.495,98.206,0
09/27/2013,98.96301,99.034,98.093,98.23,0
09/26/2013,98.424,99.13,98.267,98.973,0
09/25/2013,98.735,98.80901,98.379,98.427,0
09/24/2013,98.825,99.169,98.473,98.732,0
09/23/2013,99.17001,99.354,98.647,98.825,0
09/20/2013,99.448,99.665,99.17001,99.313,0
09/19/2013,97.925,99.608,97.871,99.44601,0
09/18/2013,99.125,99.33,97.766,97.918,0
09/17/2013,99.06,99.37801,99.001,99.107,0
09/16/2013,99.22,99.269,98.466,99.048,0
09/13/2013,99.529,99.973,99.191,99.367,0
09/12/2013,99.88,99.983,99.01,99.53201,0
